"LoincNumber","ConsumerName"
"38292-9","1,1-Dichloroethylene, Water"
"104684-6","1,1-Dimethoxy-(9Z)octadecene (DMA 18:1), Dried blood spot"
"95594-8","25-hydroxyvitamin D3, Blood"
"31219-9","Afipia felis IgM antibody, Blood"
"10333-3","Appearance, Spinal fluid"
"100865-5","Avian schistosomes, Specimen"
"41599-2","Bacteria, Body fluid"
"95074-1","Bacteria, Bronchoalveolar lavage specimen"
"44022-2","Bacteria, Cervix"
"44039-6","Bacteria, Eye"
"12178-0","Bacteria, Genital specimen"
"20695-3","Bacteria, Mother's milk"
"18192-5","Bacteria, Nose"
"41598-4","Bacteria, Pericardial fluid"
"41601-6","Bacteria, Peritoneal fluid"
"41603-2","Bacteria, Pleural fluid"
"72340-3","Bacteria, Prostate fluid"
"14124-2","Bacteria, Semen"
"32763-5","Bacteria, Specimen"
"44038-8","Bacteria, Specimen"
"41602-4","Bacteria, Spinal fluid"
"11101-3","Bacteria, Synovial fluid"
"41600-8","Bacteria, Synovial fluid"
"50221-1","Bacteria, Urine"
"51480-2","Bacteria, Urine"
"87829-8","Bacteria, Urine"
"25145-4","Bacteria, Urine sediment"
"33218-9","Bacteria, Urine sediment"
"5769-5","Bacteria, Urine sediment"
"44023-0","Bacteria, Vaginal fluid"
"44243-4","Bacteria, Vaginal fluid"
"20878-5","Bacterial culture"
"32367-5","Bacterial culture"
"43409-2","Bacterial culture"
"107188-5","Bacterial culture, Abscess"
"595-9","Bacterial culture, Abscess"
"75357-4","Bacterial culture, Abscess"
"596-7","Bacterial culture, Amniotic fluid"
"87929-6","Bacterial culture, Amniotic fluid"
"87933-8","Bacterial culture, Amniotic fluid"
"52966-9","Bacterial culture, Anal"
"43411-8","Bacterial culture, Aspirate"
"597-5","Bacterial culture, Aspirate"
"598-3","Bacterial culture, Aspirate"
"76693-1","Bacterial culture, Autologous Blood Product Unit"
"74355-9","Bacterial culture, Bartholin cyst"
"53911-4","Bacterial culture, Bile"
"87934-6","Bacterial culture, Bile"
"90270-0","Bacterial culture, Bile"
"17928-3","Bacterial culture, Blood"
"17934-1","Bacterial culture, Blood"
"45275-5","Bacterial culture, Blood"
"45276-3","Bacterial culture, Blood"
"600-7","Bacterial culture, Blood"
"599-1","Bacterial culture, Blood Product Unit"
"68366-4","Bacterial culture, Blood Product Unit"
"87935-3","Bacterial culture, Blood Product Unit"
"91062-0","Bacterial culture, Blood Product Unit"
"91063-8","Bacterial culture, Blood Product Unit"
"17956-4","Bacterial culture, Body fluid"
"610-6","Bacterial culture, Body fluid"
"611-4","Bacterial culture, Body fluid"
"602-3","Bacterial culture, Bone"
"75358-2","Bacterial culture, Bone"
"19126-2","Bacterial culture, Bone marrow"
"60258-1","Bacterial culture, Bone marrow"
"75359-0","Bacterial culture, Bone marrow"
"43442-3","Bacterial culture, Bronchial brush"
"105932-8","Bacterial culture, Bronchial specimen"
"604-9","Bacterial culture, Bronchial specimen"
"105610-0","Bacterial culture, Bronchoalveolar lavage specimen"
"105917-9","Bacterial culture, Bronchoalveolar lavage specimen"
"43441-5","Bacterial culture, Bronchoalveolar lavage specimen"
"88683-8","Bacterial culture, Bronchoalveolar lavage specimen"
"603-1","Bacterial culture, Burn"
"87930-4","Bacterial culture, Burn"
"87936-1","Bacterial culture, Burn"
"605-6","Bacterial culture, Cannula specimen"
"19128-8","Bacterial culture, Catheter tip"
"90273-4","Bacterial culture, Catheter tip"
"90274-2","Bacterial culture, Catheter tip"
"12281-2","Bacterial culture, Cervix"
"14475-8","Bacterial culture, Cervix"
"43410-0","Bacterial culture, Cervix"
"56714-9","Bacterial culture, Contact lens"
"87954-4","Bacterial culture, Cord blood"
"87955-1","Bacterial culture, Cord blood"
"60257-3","Bacterial culture, Cornea"
"88142-5","Bacterial culture, Cornea or Conjunctiva"
"17909-3","Bacterial culture, Deep wound"
"17925-9","Bacterial culture, Deep wound"
"43407-6","Bacterial culture, Deep wound"
"9822-8","Bacterial culture, Dialysis fluid"
"74348-4","Bacterial culture, Donor Bone"
"607-2","Bacterial culture, Drain"
"53617-7","Bacterial culture, Duodenal fluid"
"608-0","Bacterial culture, Ear"
"20694-6","Bacterial culture, Embryo"
"53908-0","Bacterial culture, Esophageal brushing"
"609-8","Bacterial culture, Eye"
"74816-0","Bacterial culture, Eye"
"88139-1","Bacterial culture, Eye fluid"
"88141-7","Bacterial culture, Eye fluid"
"6459-2","Bacterial culture, Food"
"10352-3","Bacterial culture, Genital specimen"
"75269-1","Bacterial culture, Genital specimen"
"91865-6","Bacterial culture, Genital specimen"
"78356-3","Bacterial culture, Implanted device"
"87931-2","Bacterial culture, Implanted device"
"87938-7","Bacterial culture, Implanted device"
"616-3","Bacterial culture, Line specimen"
"20693-8","Bacterial culture, Litter"
"79425-5","Bacterial culture, Lower respiratory"
"89643-1","Bacterial culture, Lower respiratory"
"89644-9","Bacterial culture, Lower respiratory"
"20879-3","Bacterial culture, Milk"
"106042-5","Bacterial culture, Mother's milk"
"73960-7","Bacterial culture, Mouth"
"91866-4","Bacterial culture, Mouth"
"43214-6","Bacterial culture, Nasopharynx"
"43426-6","Bacterial culture, Nasopharynx"
"10353-1","Bacterial culture, Nose"
"106016-9","Bacterial culture, Penis"
"14478-2","Bacterial culture, Penis"
"56715-6","Bacterial culture, Pericardial fluid"
"87939-5","Bacterial culture, Pericardial fluid"
"90271-8","Bacterial culture, Pericardial fluid"
"60032-0","Bacterial culture, Peritoneal dialysis fluid"
"90277-5","Bacterial culture, Peritoneal dialysis fluid"
"90280-9","Bacterial culture, Peritoneal dialysis fluid"
"619-7","Bacterial culture, Peritoneal fluid"
"87940-3","Bacterial culture, Peritoneal fluid"
"90281-7","Bacterial culture, Peritoneal fluid"
"105925-2","Bacterial culture, Periumbilical"
"617-1","Bacterial culture, Placenta"
"87941-1","Bacterial culture, Placenta"
"17279-1","Bacterial culture, Pleural fluid"
"618-9","Bacterial culture, Pleural fluid"
"87942-9","Bacterial culture, Pleural fluid"
"106032-6","Bacterial culture, Pus"
"106033-4","Bacterial culture, Pus"
"106018-5","Bacterial culture, Semen"
"53558-3","Bacterial culture, Semen"
"90276-7","Bacterial culture, Semen"
"90279-1","Bacterial culture, Semen"
"17915-0","Bacterial culture, Shallow wound"
"43307-8","Bacterial culture, Sinus"
"87932-0","Bacterial culture, Sinus"
"87943-7","Bacterial culture, Sinus"
"620-5","Bacterial culture, Skin"
"14325-5","Bacterial culture, Specimen"
"21020-3","Bacterial culture, Specimen"
"32355-0","Bacterial culture, Specimen"
"634-6","Bacterial culture, Specimen"
"635-3","Bacterial culture, Specimen"
"636-1","Bacterial culture, Specimen"
"6463-4","Bacterial culture, Specimen"
"606-4","Bacterial culture, Spinal fluid"
"87937-9","Bacterial culture, Spinal fluid"
"88236-5","Bacterial culture, Spinal fluid"
"19127-0","Bacterial culture, Sputum"
"622-1","Bacterial culture, Sputum"
"623-9","Bacterial culture, Sputum"
"624-7","Bacterial culture, Sputum"
"6460-0","Bacterial culture, Sputum"
"52973-5","Bacterial culture, Sputum Tracheal aspirate"
"52967-7","Bacterial culture, Stomach fluid"
"625-4","Bacterial culture, Stool"
"6461-8","Bacterial culture, Stool"
"105924-5","Bacterial culture, Surgical wound"
"105933-6","Bacterial culture, Surgical wound"
"621-3","Bacterial culture, Synovial fluid"
"87944-5","Bacterial culture, Synovial fluid"
"90278-3","Bacterial culture, Synovial fluid"
"17898-8","Bacterial culture, Throat"
