"LOINC_NUM","COMPONENT","PROPERTY","TIME_ASPCT","SYSTEM","SCALE_TYP","METHOD_TYP","CLASS","SHORTNAME","LONG_COMMON_NAME","RELATEDNAMES2","LinguisticVariantDisplayName"
"21020-3","","","","","","","","","","Keim Kultur aerob und anaerob /SM","Keim Kultur aerob und anaerob /Sondermaterial"
"10333-3","","","","","","","","","","Liquoraspekt","Liquoraspekt"
"54148-2","","","","","","","","","","HEP2-Ze. IF Interpr.","HEP2-Zellen IF Interpretation"
"96352-0","Befund","Ergebnis","Zeitpunkt","ambulant","Dokument","Wunddokumentation","DOC.ONTOLOGY","","","Bericht",""
"11475-1","","","","","","","","","","Mikroorganismus Kultur /SM","Mikroorganismus Kultur /Sondermaterial"
"625-4","","","","","","","","","","Stuhlkultur","Stuhlkultur"
"14396-6","","","","","","","","","","Harnstoff /PG","Harnstoff /Gelenkspunktat"
"77142-8","","","","","","","","","","Kalium /S,P,B","Kalium /Serum,Plasma,Blut"
"15202-5","","","","","","","","","","Kalium /ST","Kalium /Stuhl"
"6298-4","","","","","","","","","","Kalium/B","Kalium/Blut"
"630-4","","","","","","","","","","Urinkultur","Urinkultur"
"17928-3","","","","","","","","","","Blutkultur Aerob","Blutkultur Aerob"
"17934-1","","","","","","","","","","Blutkultur Anaerob","Blutkultur Anaerob"
"21476-7","","","","","","","","","","Kalium/24h U","Kalium /24h Urin"
"635-3","","","","","","","","","","Bakterienkultur anaerob /SM","Bakterienkultur anaerob /Sondermaterial"
"6460-0","","","","","","","","","","Sputumkultur","Sputumkultur"
"6463-4","","","","","","","","","","Keim 1 Kultur /SM","Keim 1 Kultur /Sondermaterial"
"23667-9","","","","","","","","","","Bakterien /SM","Bakterien /Sondermaterial"
"25145-4","","","","","","","","","","Bakterien /US","Bakterien /Urinsediment"
"611-4","","","","","","","","","","Bakterienkultur /SM","Bakterienkultur /Sondermaterial"
"2819-1","","","","","","","","","","Kalium /L","Kalium /Liquor"
"2820-9","","","","","","","","","","Kalium /D","Kalium /Dialysat"
"2821-7","","","","","","","","","","Kalium /SM","Kalium /Sondermaterial"
"2823-3","","","","","","","","","","Kalium","Kalium"
"2827-4","","","","","","","","","","Kalium /SW","Kalium /Schweiss"
"2828-2","","","","","","","","","","Kalium /U","Kalium /Urin"
"2829-0","","","","","","","","","","Kalium Urinexkretion","Kalium Urinexkretion"
"32713-0","","","","","","","","","","Kalium art.","Kalium arteriell"
"597-5","","","","","","","","","","Bakterienkultur aerob /Aspirat","Bakterienkultur aerob /Aspirat"
"598-3","","","","","","","","","","Bakterienkultur anaerob /Aspirat","Bakterienkultur anaerob /Aspirat"
"36921-5","","","","","","","","","","HSV AK IgG","HSV AK IgG"
"600-7","","","","","","","","","","Blutkultur","Blutkultur"
"39785-1","","","","","","","","","","Kalium /PD","Kalium /Peritonealdialysat"
"39789-3","","","","","","","","","","Kalium ven.","Kalium venös"
"39790-1","","","","","","","","","","Kalium Kap.","Kalium Kapillarblut"
"41600-8","","","","","","","","","","Bakterien /PG","Bakterien /Gelenkspunktat"
"41602-4","","","","","","","","","","Bakterien /L","Bakterien /Liquor"
"49789-1","","","","","","","","","","Kalium /ASZ","Kalium /Aszites"
"50221-1","","","","","","","","","","Bakterien /U ql.","Bakterien /U ql."
"606-4","","","","","","","","","","Liquorkultur","Liquorkultur"
"75518-1","","","","","","","","","","Meningitis Latextest /L","Meningitis Latextest /Liquor"
"5769-5","","","","","","","","","","Bakterien mikr. /US","Bakterien mikroskopisch /Urinsediment"
"14325-5","","","","","","","","","","Keim Milieukultur /SM","Keim Milieukultur /Sondermaterial"
"32355-0","","","","","","","","","","Keim Kultur Atemwege /SM","Keim Kultur Atemwege /Sondermaterial"
"634-6","","","","","","","","","","Keim Kultur aerob /SM","Keim Kultur aerob /Sondermaterial"
"636-1","","","","","","","","","","Keim Kultur steril /SM","Keim Kultur steril /Sondermaterial"
"41656-0","","","","","","","","","","Kalium gev.","Kalium gemischt venös"
"51480-2","","","","","","","","","","Bakterien /U","Bakterien /U"
"100041-3","","","","","","","","","","Aminoglycosid-Empfindlichkeit","Aminoglycosid-Empfindlichkeit"
