"LOINC_NUM","COMPONENT","PROPERTY","TIME_ASPCT","SYSTEM","SCALE_TYP","METHOD_TYP","CLASS","SHORTNAME","LONG_COMMON_NAME","RELATEDNAMES2","LinguisticVariantDisplayName"
"14394-1","Harnstoff-Stickstoff","Massenkonzentration","Zeitpunkt","Pleuraflüssigkeit","Quantitativ","","Klinische Chemie (keine Funktionstests)","","Harnstoff-Stickstoff [Masse/Volumen] in Pleuraflüssigkeit","",""
"14396-6","Harnstoff-Stickstoff","Massenkonzentration","Zeitpunkt","Synovialflüssigkeit","Quantitativ","","Klinische Chemie (keine Funktionstests)","","Harnstoff-Stickstoff [Masse/Volumen] in Synovialflüssigkeit","Gelenksflüssigkeit",""
"14402-2","Creatinin","Massenkonzentration","Zeitpunkt","Magenflüssigkeit","Quantitativ","","Klinische Chemie (keine Funktionstests)","","Creatinin [Masse/Volumen] in Magenflüssigkeit","",""
"14407-1","Phosphat","Massenkonzentration","Zeitpunkt","Magenflüssigkeit","Quantitativ","","Klinische Chemie (keine Funktionstests)","","Phosphat [Masse/Volumen] in Magenflüssigkeit","",""
"2821-7","Kalium","Stoffmengenkonzentration","Zeitpunkt","Körperflüssigkeit","Quantitativ","","Klinische Chemie (keine Funktionstests)","","Kalium [Mol/Volumen] in Körperflüssigkeit","",""
"43411-8","Bakterien","Nachweis oder Identität","Zeitpunkt","Aspirat","Nominal","Kultur","Mikrobiologie","","Bakterien identifiziert in Aspirat mittels Kultur","",""
"2825-8","Kalium","Stoffmengenkonzentration","Zeitpunkt","Speichel","Quantitativ","","Klinische Chemie (keine Funktionstests)","","Kalium [Mol/Volumen] in Speichel","",""
"15202-5","Kalium","Stoffmengenkonzentration","Zeitpunkt","Stuhl","Quantitativ","","Klinische Chemie (keine Funktionstests)","","Kalium [Mol/Volumen] in Stuhl","",""
"21476-7","Kalium","Stoffmengenkonzentration","24 Stunden","Urin","Quantitativ","","Klinische Chemie (keine Funktionstests)","","Kalium [Mol/Volumen] in 24-Stunden-Sammelurin","",""
"100041-3","Aminoglycosid","Empfindlichkeit (Mikroorganismen)","Zeitpunkt","Isolat","Ordinal oder Quantitativ","","Antibiotikaempfindlichkeit","","Aminoglycosid [Empfindlichkeit]","",""
"17934-1","Bakterien","Nachweis oder Identität","Zeitpunkt","Blut","Nominal","Anaerobe Kultur","Mikrobiologie","","Bakterien identifiziert in Blut mittels anaerober Kultur","",""
"17279-1","Bakterien","Nachweis oder Identität","Zeitpunkt","Pleuraflüssigkeit","Nominal","Aerobe Kultur","Mikrobiologie","","Bakterien identifiziert in Pleuraflüssigkeit mittels aerober Kultur","",""
