"LOINC_NUM","COMPONENT","PROPERTY","TIME_ASPCT","SYSTEM","SCALE_TYP","METHOD_TYP","CLASS","SHORTNAME","LONG_COMMON_NAME","RELATEDNAMES2","LinguisticVariantDisplayName"
"105610-0","Βακτήριο","NCnc","Pt","BAL","Qn","Καλλιέργεια","MICRO","","","NCnc",""
"17795-6","Κάλιο","SCnc","Pt","Διάλυμα υπερσίτισης","Qn","","CHEM","","","SCnc",""
"31219-9","Βακτήριο Afipia felis Αντισώματα IgM","ACnc","Pt","Ορός","Qn","","MICRO","","","ACnc Ανοσοσφαιρίνη M Βακτήριο Afipia felis",""
"31750-3","Έσω ους βοοειδών Αντιγόνο","PrThr","Pt","Ορός/Πλάσμα","Ord","","SERO","","","PrThr Έσω ους Έσω ους βοοειδών",""
"42803-7","Βακτήριο","Prid","Pt","Απομονωμένο στέλεχος","Nom","","MICRO","","","Prid Βακτήριο",""
"596-7","Βακτήριο","Prid","Pt","Αμνιακό υγρό","Nom","Καλλιέργεια","MICRO","","","Prid Βακτήριο",""
"74348-4","Βακτήριο","Prid","Pt","Οστό^Δότης","Nom","Αερόβια καλλιέργεια","MICRO","","","Prid Βακτήριο",""
"74355-9","Βακτήριο","Prid","Pt","Κύστη του βαρθολίνειου αδένα","Nom","Αερόβια καλλιέργεια","MICRO","","","Prid Βακτήριο",""
"74356-7","Βακτήριο","Prid","Pt","Κοιλιοπεριτοναϊκή παροχέτευση","Nom","Καλλιέργεια","MICRO","","","Prid Βακτήριο",""
"6792-6","Κάλιο","SRat","24H","Κόπρανα","Qn","","CHEM","","","SRat Κάλιο",""
"2822-5","Κάλιο","SCnc","Pt","Γαστρικά υγρά","Qn","","CHEM","","","SCnc",""
"90278-3","Βακτήριο","Prid","Pt","Αρθρικό υγρό","Nom","Αερόβια καλλιέργεια","MICRO","","","Prid Βακτήριο",""
"90273-4","Βακτήριο","Prid","Pt","Ctp","Nom","Αναερόβια καλλιέργεια","MICRO","","","Prid Βακτήριο",""
"90281-7","Βακτήριο","Prid","Pt","Περιτοναϊκό υγρό","Nom","Αερόβια καλλιέργεια","MICRO","","","Prid Βακτήριο",""
"90274-2","Βακτήριο","Prid","Pt","Ctp","Nom","Αερόβια καλλιέργεια","MICRO","","","Prid Βακτήριο",""
"11475-1","Μικροοργανισμός","Prid","Pt","XXX","Nom","Καλλιέργεια","MICRO","","","Prid",""
"2826-6","Κάλιο","SRat","72H","Κόπρανα","Qn","","CHEM","","","SRat",""
"603-1","Βακτήριο","Prid","Pt","Έγκαυμα","Nom","Καλλιέργεια","MICRO","","","Prid Βακτήριο",""
"605-6","Βακτήριο","Prid","Pt","Cnl","Nom","Αερόβια καλλιέργεια","MICRO","","","Prid Βακτήριο",""
"618-9","Βακτήριο","Prid","Pt","Υπεζωκοτικό υγρό","Nom","Καλλιέργεια","MICRO","","","Prid Βακτήριο",""
"631-2","Βακτήριο","Prid","Pt","Άγνωστη ουσία","Nom","Αερόβια καλλιέργεια","MICRO","","","Prid Βακτήριο",""
"620-5","Βακτήριο","Prid","Pt","Δέρμα","Nom","Αερόβια καλλιέργεια","MICRO","","","Prid Βακτήριο",""
"609-8","Βακτήριο","Prid","Pt","Οφθαλμός","Nom","Αερόβια καλλιέργεια","MICRO","","","Prid Βακτήριο",""
"60258-1","Βακτήριο","Prid","Pt","Μυελός των οστών","Nom","Καλλιέργεια","MICRO","","","Prid Βακτήριο",""
"56714-9","Βακτήριο","Prid","Pt","Φακός επαφής","Nom","Καλλιέργεια","MICRO","","","Prid Βακτήριο",""
"56715-6","Βακτήριο","Prid","Pt","Περικαρδιακό υγρό","Nom","Καλλιέργεια","MICRO","","","Prid Βακτήριο",""
"31157-1","Καρβοξυαιμοσφαιρίνη","MCnc","Pt","Αίμα","Qn","","CHEM","","","MCnc Καρβοξυαιμοσφαιρίνη",""
"14478-2","Βακτήριο","Prid","Pt","Πέος","Nom","Αερόβια καλλιέργεια","MICRO","","","Prid",""
"91865-6","Βακτήριο","Prid","Pt","Γεννητικά","Nom","Αναερόβια καλλιέργεια","MICRO","","","Prid Βακτήριο",""
"55380-0","Ιός Δυτικού Νείλου Αντίσωμα","Titr","Pt","Ορός","Ημιποσοτική","HAI","MICRO","","","Titr Ιός Ιός Δυτικού Νείλου",""
"52966-9","Βακτήριο","Prid","Pt","Πρωκτικός","Nom","Καλλιέργεια","MICRO","","","Prid Βακτήριο",""
"52967-7","Βακτήριο","Prid","Pt","Γαστρικά υγρά","Nom","Καλλιέργεια","MICRO","","","Prid Βακτήριο",""
