"LOINC_NUM","COMPONENT","PROPERTY","TIME_ASPCT","SYSTEM","SCALE_TYP","METHOD_TYP","CLASS","SHORTNAME","LONG_COMMON_NAME","RELATEDNAMES2","LinguisticVariantDisplayName"
"3105-4","urobilinógeno","concentración arbitraria","punto en el tiempo","materia fecal","ordinal","","química","urobilinógeno:concentración arbitraria:punto en el tiempo:materia fecal:ordinal:","","",""
"31157-1","carboxihemoglobina","concentración de masa","punto en el tiempo","sangre","cuantitativo","","química","carboxihemoglobina:concentración de masa:punto en el tiempo:sangre:cuantitativo:","","",""
"10332-5","cortisol^antes de 250 ug de corticotrofina intramuscular","concentración de masa","punto en el tiempo","suero/plasma","cuantitativo","","pruebas de provocación","cortisol^antes de 250 ug de corticotrofina intramuscular:concentración de masa:punto en el tiempo:suero/plasma:cuantitativo:","","",""
"10333-3","aspecto","aspecto","punto en el tiempo","líquido cefalorraquídeo","Nominal","","características del espécimen","aspecto:aspecto:punto en el tiempo:líquido cefalorraquídeo:Nominal:","","",""
"10352-3","microorganismo identificado","presencia o identidad","punto en el tiempo","genital","Nominal","cultivo aerobio","microbiología","microorganismo identificado:presencia o identidad:punto en el tiempo:genital:Nominal:cultivo aerobio","","",""
"10353-1","microorganismo identificado","presencia o identidad","punto en el tiempo","nariz","Nominal","cultivo aerobio","microbiología","microorganismo identificado:presencia o identidad:punto en el tiempo:nariz:Nominal:cultivo aerobio","","",""
"10354-9","microorganismo identificado","presencia o identidad","punto en el tiempo","uretra","Nominal","cultivo","microbiología","microorganismo identificado:presencia o identidad:punto en el tiempo:uretra:Nominal:cultivo","","",""
"10390-3","preparación especial con hemoderivado","tipo","punto en el tiempo","^unidad de hemoderivado","Nominal","","banco de sangre","preparación especial con hemoderivado:tipo:punto en el tiempo:^unidad de hemoderivado:Nominal:","","",""
"10391-1","inmunoglobulina de citomegalovirus administrada","volumen","punto en el tiempo","^paciente","cuantitativo","","banco de sangre","inmunoglobulina de citomegalovirus administrada:volumen:punto en el tiempo:^paciente:cuantitativo:","","",""
"1039-7","[antígeno] G [Ag]","concentración arbitraria","punto en el tiempo","eritrocitos^unidad de hemoderivado","ordinal","","banco de sangre","[antígeno] G [Ag]:concentración arbitraria:punto en el tiempo:eritrocitos^unidad de hemoderivado:ordinal:","","",""
"10525-4","observación microscópica","presencia o identidad","punto en el tiempo","XXX","Nominal","tinción citológica","citología","observación microscópica:presencia o identidad:punto en el tiempo:XXX:Nominal:tinción citológica","","",""
"10550-2","temazepam","concentración de masa","punto en el tiempo","suero/plasma","cuantitativo","","nivel de drogas y toxicología","temazepam:concentración de masa:punto en el tiempo:suero/plasma:cuantitativo:","","",""
"1099-1","[anticuerpo anti - ] K [minúscula] P [superíndice] A [minúscula] [Ac]","concentración arbitraria","punto en el tiempo","suero/plasma","ordinal","","banco de sangre","[anticuerpo anti - ] K [minúscula] P [superíndice] A [minúscula] [Ac]:concentración arbitraria:punto en el tiempo:suero/plasma:ordinal:","","",""
"11101-3","bacterias","número areico","punto en el tiempo","líquido sinovial","cuantitativo","microscopia.de luz.campo de gran aumento","microbiología","bacterias:número areico:punto en el tiempo:líquido sinovial:cuantitativo:microscopia.de luz.campo de gran aumento","","",""
"11261-5","microorganismo identificado","presencia o identidad","punto en el tiempo","vaginal","Nominal","cultivo aerobio","microbiología","microorganismo identificado:presencia o identidad:punto en el tiempo:vaginal:Nominal:cultivo aerobio","","",""
"11475-1","microorganismo identificado","presencia o identidad","punto en el tiempo","XXX","Nominal","cultivo","microbiología","microorganismo identificado:presencia o identidad:punto en el tiempo:XXX:Nominal:cultivo","","",""
"11702-8","flujo sanguíneo.sistólico.máximo","velocidad","punto en el tiempo","arteria cerebral media","cuantitativo","doppler.medido","obstetricia.ultrasonido","flujo sanguíneo.sistólico.máximo:velocidad:punto en el tiempo:arteria cerebral media:cuantitativo:doppler.medido","","",""
"11704-4","flujo sanguíneo.sistólico.máximo","velocidad","punto en el tiempo","conducto arterioso","cuantitativo","doppler.medido","obstetricia.ultrasonido","flujo sanguíneo.sistólico.máximo:velocidad:punto en el tiempo:conducto arterioso:cuantitativo:doppler.medido","","",""
"12178-0","preparación en fresco","concentración arbitraria","punto en el tiempo","genital","ordinal","WET PREPARATION","microbiología","preparación en fresco:concentración arbitraria:punto en el tiempo:genital:ordinal:WET PREPARATION","","",""
"12281-2","microorganismo identificado","presencia o identidad","punto en el tiempo","cuello uterino","Nominal","cultivo anaerobio","microbiología","microorganismo identificado:presencia o identidad:punto en el tiempo:cuello uterino:Nominal:cultivo anaerobio","","",""
"12814-0","potasio","concentración de sustancia","punto en el tiempo","líquido vítreo","cuantitativo","","química","potasio:concentración de sustancia:punto en el tiempo:líquido vítreo:cuantitativo:","","",""
"13314-0","microorganismo identificado","presencia o identidad","punto en el tiempo","semen","Nominal","","microbiología","microorganismo identificado:presencia o identidad:punto en el tiempo:semen:Nominal:","","",""
"13315-7","microorganismo identificado","presencia o identidad","24 horas","orina","Nominal","urocultivo","microbiología","microorganismo identificado:presencia o identidad:24 horas:orina:Nominal:urocultivo","","",""
"14093-9","microorganismo identificado","presencia o identidad","punto en el tiempo","agua","Nominal","cultivo en agua","microbiología","microorganismo identificado:presencia o identidad:punto en el tiempo:agua:Nominal:cultivo en agua","","",""
"14124-2","bacterias","concentración arbitraria","punto en el tiempo","semen","ordinal","microscopia","fertilidad","bacterias:concentración arbitraria:punto en el tiempo:semen:ordinal:microscopia","","",""
"14172-1","potasio","concentración de sustancia","punto en el tiempo","líquido sinovial","cuantitativo","","química","potasio:concentración de sustancia:punto en el tiempo:líquido sinovial:cuantitativo:","","",""
"14320-6","microorganismo identificado","presencia o identidad","punto en el tiempo","orina","Nominal","urocultivo @1:100","microbiología","microorganismo identificado:presencia o identidad:punto en el tiempo:orina:Nominal:urocultivo @1:100","","",""
"14325-5","microorganismo identificado","presencia o identidad","punto en el tiempo","XXX","Nominal","cultivo ambiental","microbiología","microorganismo identificado:presencia o identidad:punto en el tiempo:XXX:Nominal:cultivo ambiental","","",""
"14394-1","nitrógeno ureico","concentración de masa","punto en el tiempo","líquido pleural","cuantitativo","","química","nitrógeno ureico:concentración de masa:punto en el tiempo:líquido pleural:cuantitativo:","","",""
"14396-6","nitrógeno ureico","concentración de masa","punto en el tiempo","líquido sinovial","cuantitativo","","química","nitrógeno ureico:concentración de masa:punto en el tiempo:líquido sinovial:cuantitativo:","","",""
"14402-2","creatinina","concentración de masa","punto en el tiempo","líquidos/contenidos gástricos","cuantitativo","","química","creatinina:concentración de masa:punto en el tiempo:líquidos/contenidos gástricos:cuantitativo:","","",""
"14407-1","fosfato","concentración de masa","punto en el tiempo","líquidos/contenidos gástricos","cuantitativo","","química","fosfato:concentración de masa:punto en el tiempo:líquidos/contenidos gástricos:cuantitativo:","","",""
"14475-8","microorganismo identificado","presencia o identidad","punto en el tiempo","cuello uterino","Nominal","cultivo aerobio","microbiología","microorganismo identificado:presencia o identidad:punto en el tiempo:cuello uterino:Nominal:cultivo aerobio","","",""
"14477-4","microorganismo identificado","presencia o identidad","punto en el tiempo","uretra","Nominal","cultivo aerobio","microbiología","microorganismo identificado:presencia o identidad:punto en el tiempo:uretra:Nominal:cultivo aerobio","","",""
"14478-2","microorganismo identificado","presencia o identidad","punto en el tiempo","pene","Nominal","cultivo aerobio","microbiología","microorganismo identificado:presencia o identidad:punto en el tiempo:pene:Nominal:cultivo aerobio","","",""
"15202-5","potasio","concentración de sustancia","punto en el tiempo","materia fecal","cuantitativo","","química","potasio:concentración de sustancia:punto en el tiempo:materia fecal:cuantitativo:","","",""
"15507-7","SUBSEQUENT EVALUATION NOTE","hallazgo","punto en el tiempo","servicio de emergencias","Documento","{proveedor}","datos adjuntos.informe clínico","SUBSEQUENT EVALUATION NOTE:hallazgo:punto en el tiempo:servicio de emergencias:Documento:{proveedor}","","",""
"15508-5","registros de parto y trabajo de parto","hallazgo","-","^paciente","Múltiple","","datos adjuntos.informe clínico","registros de parto y trabajo de parto:hallazgo:-:^paciente:Múltiple:","","",""
"17279-1","microorganismo identificado","presencia o identidad","punto en el tiempo","líquido pleural","Nominal","cultivo aerobio","microbiología","microorganismo identificado:presencia o identidad:punto en el tiempo:líquido pleural:Nominal:cultivo aerobio","","",""
"17795-6","solución para hiperalimentación","concentración de sustancia","punto en el tiempo","HYPERAL SOLUTION","cuantitativo","","química","solución para hiperalimentación:concentración de sustancia:punto en el tiempo:HYPERAL SOLUTION:cuantitativo:","","",""
"17898-8","microorganismo identificado","presencia o identidad","punto en el tiempo","garganta","Nominal","cultivo aerobio","microbiología","microorganismo identificado:presencia o identidad:punto en el tiempo:garganta:Nominal:cultivo aerobio","","",""
"17909-3","microorganismo identificado","presencia o identidad","punto en el tiempo","herida.profunda","Nominal","cultivo aerobio","microbiología","microorganismo identificado:presencia o identidad:punto en el tiempo:herida.profunda:Nominal:cultivo aerobio","","",""
"17915-0","microorganismo identificado","presencia o identidad","punto en el tiempo","herida.superficial","Nominal","cultivo aerobio","microbiología","microorganismo identificado:presencia o identidad:punto en el tiempo:herida.superficial:Nominal:cultivo aerobio","","",""
"17925-9","microorganismo identificado","presencia o identidad","punto en el tiempo","herida.profunda","Nominal","cultivo anaerobio","microbiología","microorganismo identificado:presencia o identidad:punto en el tiempo:herida.profunda:Nominal:cultivo anaerobio","","",""
"17928-3","microorganismo identificado","presencia o identidad","punto en el tiempo","sangre","Nominal","hemocultivo en medio aeróbico","microbiología","microorganismo identificado:presencia o identidad:punto en el tiempo:sangre:Nominal:hemocultivo en medio aeróbico","","",""
"17934-1","microorganismo identificado","presencia o identidad","punto en el tiempo","sangre","Nominal","cultivo anaeróbico de sangre","microbiología","microorganismo identificado:presencia o identidad:punto en el tiempo:sangre:Nominal:cultivo anaeróbico de sangre","","",""
