"LOINC_NUM","COMPONENT","PROPERTY","TIME_ASPCT","SYSTEM","SCALE_TYP","METHOD_TYP","CLASS","SHORTNAME","LONG_COMMON_NAME","RELATEDNAMES2","LinguisticVariantDisplayName"
"90271-8","Bacteria","Presencia o identidad","Punto temporal","Fluido pericárdico","Nom","Cultivo aerobio","Pruebas de Microbiología (Cultivos, DNA, antígenos y anticuerpos)","","","",""
"90278-3","Bacteria","Presencia o identidad","Punto temporal","Líquido sinovial","Nom","Cultivo aerobio","Pruebas de Microbiología (Cultivos, DNA, antígenos y anticuerpos)","","","",""
"90274-2","Bacteria","Presencia o identidad","Punto temporal","Punta de catéter","Nom","Cultivo aerobio","Pruebas de Microbiología (Cultivos, DNA, antígenos y anticuerpos)","","","",""
"90276-7","Bacteria","Presencia o identidad","Punto temporal","Semen","Nom","Cultivo anaerobio","Pruebas de Microbiología (Cultivos, DNA, antígenos y anticuerpos)","","","",""
"90281-7","Bacteria","Presencia o identidad","Punto temporal","Fluído peritoneal","Nom","Cultivo aerobio","Pruebas de Microbiología (Cultivos, DNA, antígenos y anticuerpos)","","","",""
"91063-8","Bacteria","Presencia o identidad","Punto temporal","Plaquetas^Unidad de hemoderivado","Nom","Cultivo aerobio","Pruebas de Microbiología (Cultivos, DNA, antígenos y anticuerpos)","","","",""
"90277-5","Bacteria","Presencia o identidad","Punto temporal","Dialisis líquido peritoneal","Nom","Cultivo anaerobio","Pruebas de Microbiología (Cultivos, DNA, antígenos y anticuerpos)","","","",""
"90279-1","Bacteria","Presencia o identidad","Punto temporal","Semen","Nom","Cultivo aerobio","Pruebas de Microbiología (Cultivos, DNA, antígenos y anticuerpos)","","","",""
"90280-9","Bacteria","Presencia o identidad","Punto temporal","Dialisis líquido peritoneal","Nom","Cultivo aerobio","Pruebas de Microbiología (Cultivos, DNA, antígenos y anticuerpos)","","","",""
"90324-5","Mycoplasma hyopneumoniae ADN","PrThr","Punto temporal","XXX","Ord","Sonda con amplificación dirigida","Pruebas de Microbiología (Cultivos, DNA, antígenos y anticuerpos)","","","",""
"90444-1","Dietilpropión","Concentración de masa","Punto temporal","Suero, Plasma o Sangre","Qn","Confirmatorio","Pruebas toxicológicas de drogas","","","Cuantitativo",""
"90270-0","Bacteria","Presencia o identidad","Punto temporal","Fluido biliar","Nom","Cultivo aerobio","Pruebas de Microbiología (Cultivos, DNA, antígenos y anticuerpos)","","","",""
"90273-4","Bacteria","Presencia o identidad","Punto temporal","Punta de catéter","Nom","Cultivo anaerobio","Pruebas de Microbiología (Cultivos, DNA, antígenos y anticuerpos)","","","",""
"91062-0","Bacteria","Presencia o identidad","Punto temporal","Plaquetas^Unidad de hemoderivado","Nom","Cultivo anaerobio","Pruebas de Microbiología (Cultivos, DNA, antígenos y anticuerpos)","","","",""
"10525-4","Observación","Presencia o identidad","Punto temporal","XXX","Nom","Tinción citológica","Estudios de citología","","","",""
"105052-5","Bacteria","PrThr","Punto temporal","Sedimento urinario","Ord","Microscopía","Pruebas de Microbiología (Cultivos, DNA, antígenos y anticuerpos)","","","",""
"101421-6","Coronavirus Humano NL63 RNA","PrThr","Punto temporal","Muestra del sistema respiratorio","Ord","Sonda con amplificación dirigida","Pruebas de Microbiología (Cultivos, DNA, antígenos y anticuerpos)","","","Muestra del tracto respiratorio Muestra respiratoria Tracto respiratorio",""
"105051-7","Bacteria","Número aréico (por área)","Punto temporal","Sedimento urinario","Qn","Microscopía","Pruebas de Microbiología (Cultivos, DNA, antígenos y anticuerpos)","","","Cuantitativo",""
"57380-8","Potasio","Indice de susbtancia","12 Horas","Orina","Qn","","Pruebas de provocación no químicas","","","Cuantitativo",""
"87454-5","Potasio","Concentración de masa","Punto temporal","XXX","Qn","","Pruebas de provocación no químicas","","","Cuantitativo",""
"87455-2","Potasio","Contenido de masa","Punto temporal","XXX","Qn","","Pruebas de provocación no químicas","","","Cuantitativo",""
"41656-0","Potasio","Concentración de sustancia","Punto temporal","Sangre venosa mixta","Qn","","Pruebas de provocación no químicas","","","Cuantitativo",""
"10332-5","Cortisol^antes de 250 ug de corticotropina IM","Concentración de masa","Punto temporal","Suero o Plasma","Qn","","Pruebas de provocación química","","","Cuantitativo",""
"10333-3","Observación","Aspecto","Punto temporal","Líquido Cefalorraquideo","Nom","","Información de la muestra","","","",""
"10352-3","Bacteria","Presencia o identidad","Punto temporal","Genital","Nom","Cultivo aerobio","Pruebas de Microbiología (Cultivos, DNA, antígenos y anticuerpos)","","","",""
"10353-1","Bacteria","Presencia o identidad","Punto temporal","Nariz","Nom","Cultivo aerobio","Pruebas de Microbiología (Cultivos, DNA, antígenos y anticuerpos)","","","",""
"10354-9","Bacteria","Presencia o identidad","Punto temporal","Uretra","Nom","Cultivo","Pruebas de Microbiología (Cultivos, DNA, antígenos y anticuerpos)","","","",""
"10390-3","Preparación especial de productos de sangre","Tipo","Punto temporal","^Unidad de hemoderivado","Nom","","Pruebas de Banco de sangre","","","",""
"10391-1","CMV inmunoglobulina dado","Volumen","Punto temporal","^paciente","Qn","","Pruebas de Banco de sangre","","","Cuantitativo",""
"1039-7","G Antígeno","PrThr","Punto temporal","Glóbulos rojos^Unidad de hemoderivado","Ord","","Pruebas de Banco de sangre","","","",""
