"LOINC_NUM","COMPONENT","PROPERTY","TIME_ASPCT","SYSTEM","SCALE_TYP","METHOD_TYP","CLASS","SHORTNAME","LONG_COMMON_NAME","RELATEDNAMES2","LinguisticVariantDisplayName"
"10550-2","Temazepam","Concentración de masa","Punto temporal","Suero o Plasma","Cuantitativo","","","","Temazepam: Suero o Plasma : Punto temporal: Concentración de masa: Cuantitativo:","",""
"1099-1","K sub p super sub a Ab","Presencia o umbral","Punto temporal","Suero o Plasma","Ordinal","","","","K sub p super sub a Ab: Suero o Plasma : Punto temporal: Presencia o umbral: Ordinal:","",""
"77193-1","Bacterias identificadas","Presencia o identidad","Punto temporal","Útero","Nominal","Cultura","","","Bacterias identificadas: Útero : Punto temporal: Presencia o identidad: Nominal: Cultura","",""
"13315-7","Bacterias identificadas","Presencia o identidad","24H","Orina","Nominal","Cultura","","","Bacterias identificadas: Orina : 24H: Presencia o identidad: Nominal: Cultura","",""
"2821-7","Potasio","Concentración de sustancias","Punto temporal","Fluído corporal","Cuantitativo","","","","Potasio: Fluído corporal : Punto temporal: Concentración de sustancias: Cuantitativo:","",""
"2822-5","Potasio","Concentración de sustancias","Punto temporal","Fluido gástrico","Cuantitativo","","","","Potasio: Fluido gástrico : Punto temporal: Concentración de sustancias: Cuantitativo:","",""
"38292-9","1,1-dicloroetileno","Concentración de masa","Punto temporal","Agua","Cuantitativo","","","","1,1-dicloroetileno: Agua : Punto temporal: Concentración de masa: Cuantitativo:","",""
"93429-9","Blastomyces sp Ag","Concentración de masa","Punto temporal","Orina","Cuantitativo","Inmunoensayo","","","Blastomyces sp Ag: Orina : Punto temporal: Concentración de masa: Cuantitativo: Inmunoensayo","",""
"621-3","Bacterias identificadas","Presencia o identidad","Punto temporal","Líquido sinovial","Nominal","Cultura","","","Bacterias identificadas: Líquido sinovial : Punto temporal: Presencia o identidad: Nominal: Cultura","",""
"43426-6","Bacterias identificadas","Presencia o identidad","Punto temporal","Nasofaringe","Nominal","Cultura aerobia","","","Bacterias identificadas: Nasofaringe : Punto temporal: Presencia o identidad: Nominal: Cultura aerobia","",""
"39785-1","Potasio","Concentración de sustancias","Punto temporal","Líquido de diálisis peritoneal","Cuantitativo","","","","Potasio: Líquido de diálisis peritoneal : Punto temporal: Concentración de sustancias: Cuantitativo:","",""
"32763-5","Bacterias","Presencia o umbral","Punto temporal","XXX","Ordinal","Preparación húmeda","","","Bacterias: XXX : Punto temporal: Presencia o umbral: Ordinal: Preparación húmeda","",""
"2829-0","Potasio","Tasa de sustancia","24H","Orina","Cuantitativo","","","","Potasio: Orina : 24H: Tasa de sustancia: Cuantitativo:","",""
"11475-1","Microorganismo identificado","Presencia o identidad","Punto temporal","XXX","Nominal","Cultura","","","Microorganismo identificado: XXX : Punto temporal: Presencia o identidad: Nominal: Cultura","",""
"23667-9","Bacterias identificadas","Presencia o identidad","Punto temporal","XXX","Nominal","","","","Bacterias identificadas: XXX : Punto temporal: Presencia o identidad: Nominal:","",""
"10525-4","Observación microscópica","Presencia o identidad","Punto temporal","XXX","Nominal","Tinción de cito","","","Observación microscópica: XXX : Punto temporal: Presencia o identidad: Nominal: Tinción de cito","",""
"1039-7","G Ag","Presencia o umbral","Punto temporal","Eritrocitos ^ Unidad de hemoderivado","Ordinal","","","","G Ag: Eritrocitos Unidad de hemoderivado: Punto temporal: Presencia o umbral: Ordinal:","",""
"20474-3","Bacterias identificadas","Presencia o identidad","Punto temporal","Tejido y frotis","Nominal","Cultivo de biopsia","","","Bacterias identificadas: Tejido y frotis : Punto temporal: Presencia o identidad: Nominal: Cultivo de biopsia","",""
"20695-3","Bacterias","Concentración numérica","Punto temporal","La leche materna","Cuantitativo","","","","Bacterias: La leche materna : Punto temporal: Concentración numérica: Cuantitativo:","",""
"20693-8","Bacterias identificadas","Presencia o identidad","Punto temporal","Basura","Nominal","Cultura aerobia","","","Bacterias identificadas: Basura : Punto temporal: Presencia o identidad: Nominal: Cultura aerobia","",""
"20877-7","Bacterias identificadas","Presencia o identidad","Punto temporal","Aislado","Nominal","Inoculación animal","","","Bacterias identificadas: Aislado : Punto temporal: Presencia o identidad: Nominal: Inoculación animal","",""
"20694-6","Bacterias identificadas","Presencia o identidad","Punto temporal","^ Embrión","Nominal","Cultura aerobia","","","Bacterias identificadas: Embrión: Punto temporal: Presencia o identidad: Nominal: Cultura aerobia","",""
"20878-5","Bacterias identificadas","Presencia o identidad","Punto temporal","Aislado","Nominal","Cultura anaerobia","","","Bacterias identificadas: Aislado : Punto temporal: Presencia o identidad: Nominal: Cultura anaerobia","",""
"20879-3","Bacterias identificadas","Presencia o identidad","Punto temporal","Leche","Nominal","Cultura aerobia","","","Bacterias identificadas: Leche : Punto temporal: Presencia o identidad: Nominal: Cultura aerobia","",""
"21020-3","Bacterias identificadas","Presencia o identidad","Punto temporal","XXX","Nominal","Cultura anaerobia + aerobia","","","Bacterias identificadas: XXX : Punto temporal: Presencia o identidad: Nominal: Cultura anaerobia + aerobia","",""
"21476-7","Potasio","Concentración de sustancias","24H","Orina","Cuantitativo","","","","Potasio: Orina : 24H: Concentración de sustancias: Cuantitativo:","",""
