"LOINC_NUM","COMPONENT","PROPERTY","TIME_ASPCT","SYSTEM","SCALE_TYP","METHOD_TYP","CLASS","SHORTNAME","LONG_COMMON_NAME","RELATEDNAMES2","LinguisticVariantDisplayName"
"95074-1","Bakterid","PrThr","Pt","BalF","Ord","Valgusmikroskoopia","MICRO","","","Järgarvuline Juhuslik",""
"95594-8","Kaltsidiool","MCnc","Pt","cB","Qn","","CHEM","","","Juhuslik Kapillaarne veri Kvantitatiivne",""
"95675-5","Kollapalaviku viirus antikehad.IgG","PrThr","Pt","XXX","Ord","IA","MICRO","","","Immuunglobuliin G Järgarvuline Juhuslik Täpsustamata materjal",""
"10391-1","Tsütomegaloviiruse immuunglobuliin manustatud","Vol","Pt","^patsient","Qn","","BLDBK","","","Juhuslik Kvantitatiivne Maht",""
"10550-2","Temasepaam","MCnc","Pt","S/P","Qn","","DRUG/TOX","","","Juhuslik Kvantitatiivne Plasma Seerum Seerum või plasma",""
"1099-1","Kp^a antikehad","PrThr","Pt","S/P","Ord","","BLDBK","","","Järgarvuline Juhuslik Plasma Seerum Seerum või plasma",""
"12178-0","Bakterid","PrThr","Pt","Gen","Ord","Märg preparaat","MICRO","","","Järgarvuline Juhuslik Välisgenitaalide materjal",""
"14124-2","Bakterid","PrThr","Pt","Sem","Ord","Valgusmikroskoopia","FERT","","","Järgarvuline Juhuslik Sperma",""
"14172-1","Kaalium","SCnc","Pt","SynF","Qn","","CHEM","","","Aine kontsentratsioon Juhuslik Kvantitatiivne Liigesevedelik sünoviaalvedelik",""
"14402-2","Kreatiniin","MCnc","Pt","GstF","Qn","","CHEM","","","Juhuslik Kvantitatiivne Maomahl",""
"14407-1","Fosfaat","MCnc","Pt","GstF","Qn","","CHEM","","","Juhuslik Kvantitatiivne Maomahl",""
"15202-5","Kaalium","SCnc","Pt","St","Qn","","CHEM","","","Aine kontsentratsioon Juhuslik Kvantitatiivne Roe",""
"18192-5","Bakterid","PrThr","Pt","Nose","Ord","Valgusmikroskoopia","MICRO","","","Järgarvuline Juhuslik Ninakaabe",""
"18372-3","Kaalium","SRat","6 tunni","U","Qn","","CHEM","","","Aine määr Kvantitatiivne Uriin",""
"20695-3","Bakterid","NCnc","Pt","Mi","Qn","","MICRO","","","Juhuslik Kvantitatiivne Rinnapiim",""
"21476-7","Kaalium","SCnc","24 tunni","U","Qn","","CHEM","","","Aine kontsentratsioon Kvantitatiivne Uriin",""
"22760-3","Kaalium","MCnc","Pt","S/P","Qn","","CHEM","","","Juhuslik Kvantitatiivne Plasma Seerum Seerum või plasma",""
