"LOINC_NUM","COMPONENT","PROPERTY","TIME_ASPCT","SYSTEM","SCALE_TYP","METHOD_TYP","CLASS","SHORTNAME","LONG_COMMON_NAME","RELATEDNAMES2","LinguisticVariantDisplayName"
"106016-9","Bactéries","Présence ou identité","Temps ponctuel","Pénis","Nominal","Culture","Microbiologie","","","Verge",""
"106033-4","Bactéries","Présence ou identité","Temps ponctuel","Pus","Nominal","Culture anaérobique","Microbiologie","","","",""
"105052-5","Bactéries","PrThr","Temps ponctuel","Sédiment urinaire","Ordinal","Microscopie","Microbiologie","","","",""
"104865-1","Bactéries","PrThr","Temps ponctuel","Urine","Ordinal","Informatisé","Microbiologie","","","",""
"105907-0","Bactéries","Concentration numérique","Temps ponctuel","Urine","Quantitatif","","Analyse d'urine","","","",""
"105908-8","Bactéries","Nombre par unité de surface","Temps ponctuel","Sédiment urinaire","Quantitatif","","Analyse d'urine","","","",""
"106018-5","Bactéries","Concentration numérique","Temps ponctuel","Liquide séminal","Quantitatif","Culture","Microbiologie","","","",""
"105610-0","Bactéries","Concentration numérique","Temps ponctuel","Lavage broncho-alvéolaire","Quantitatif","Culture","Microbiologie","","","",""
"105917-9","Bactéries","Présence ou identité","Temps ponctuel","Lavage broncho-alvéolaire","Nominal","Culture","Microbiologie","","","",""
"105932-8","Bactéries","Présence ou identité","Temps ponctuel","Bronchique","Nominal","Culture","Microbiologie","","","",""
"90274-2","Bactéries","Présence ou identité","Temps ponctuel","Bout de cathéter","Nominal","Culture aérobie","Microbiologie","","","",""
"90276-7","Bactéries","Présence ou identité","Temps ponctuel","Liquide séminal","Nominal","Culture anaérobique","Microbiologie","","","",""
"90277-5","Bactéries","Présence ou identité","Temps ponctuel","Solution de dialyse péritonéale","Nominal","Culture anaérobique","Microbiologie","","","",""
"90279-1","Bactéries","Présence ou identité","Temps ponctuel","Liquide séminal","Nominal","Culture aérobie","Microbiologie","","","",""
"90281-7","Bactéries","Présence ou identité","Temps ponctuel","Liquide péritonéal","Nominal","Culture aérobie","Microbiologie","","","",""
"90270-0","Bactéries","Présence ou identité","Temps ponctuel","Liquide biliaire","Nominal","Culture aérobie","Microbiologie","","","",""
"90273-4","Bactéries","Présence ou identité","Temps ponctuel","Bout de cathéter","Nominal","Culture anaérobique","Microbiologie","","","",""
"90280-9","Bactéries","Présence ou identité","Temps ponctuel","Solution de dialyse péritonéale","Nominal","Culture aérobie","Microbiologie","","","",""
"90324-5","Mycoplasma hyopneumoniae ADN","PrThr","Temps ponctuel","XXX","Ordinal","Sonde avec amplification de la cible","Microbiologie","","","",""
"90444-1","Diéthylpropion","Concentration de masse","Temps ponctuel","Sérum/Plasma/Sang","Quantitatif","Confirmé","Médicaments et produits toxiques","","","",""
"90271-8","Bactéries","Présence ou identité","Temps ponctuel","Liquide péricardique","Nominal","Culture aérobie","Microbiologie","","","",""
"90278-3","Bactéries","Présence ou identité","Temps ponctuel","Liquide synovial","Nominal","Culture aérobie","Microbiologie","","","",""
"91063-8","Bactéries","Présence ou identité","Temps ponctuel","Plaquettes^Unité de produit sanguin","Nominal","Culture aérobie","Microbiologie","","","",""
"91062-0","Bactéries","Présence ou identité","Temps ponctuel","Plaquettes^Unité de produit sanguin","Nominal","Culture anaérobique","Microbiologie","","","",""
"95675-5","Virus de la fièvre jaune Anticorps. IgG","PrThr","Temps ponctuel","XXX","Ordinal","IA","Microbiologie","","","Anticorps",""
"88683-8","Bactéries","Présence ou identité","Temps ponctuel","Lavage broncho-alvéolaire","Nominal","Culture anaérobique","Microbiologie","","","",""
"99932-6","Bactéries","PrThr","Temps ponctuel","Liquide biologique","Ordinal","Automatisé","Microbiologie","","","",""
"95594-8","Calcidiol","Concentration de masse","Temps ponctuel","Sang capillaire","Quantitatif","","Chimie","","","25OH-Vitamine D3, 25-OH-cholécalciférol",""
"95074-1","Bactéries","PrThr","Temps ponctuel","Lavage broncho-alvéolaire","Ordinal","Microscopie.fond clair","Microbiologie","","","",""
"91866-4","Bactéries","Présence ou identité","Temps ponctuel","Bouche","Nominal","Culture aérobie","Microbiologie","","","",""
"10332-5","Cortisol^Pré 250 ug hormone adrénocorticotrope IM","Concentration de masse","Temps ponctuel","Sérum/Plasma","Quantitatif","","Tests de provocation","","","ACTH avant ACTH IM 250µg Stimulation ACTH 250µg. Avant injection",""
"10352-3","Bactéries","Présence ou identité","Temps ponctuel","Génital","Nominal","Culture aérobie","Microbiologie","","","",""
"10353-1","Bactéries","Présence ou identité","Temps ponctuel","Nez","Nominal","Culture aérobie","Microbiologie","","","",""
"10354-9","Bactéries","Présence ou identité","Temps ponctuel","Urètre","Nominal","Culture","Microbiologie","","","Urèthre",""
"10390-3","Produits sanguins, préparation spéciale","Type","Temps ponctuel","^Unité de produit sanguin","Nominal","","Banque de sang","","","",""
"10391-1","Immunoglobuline anti-CMV Administré","Volume","Temps ponctuel","^Patient","Quantitatif","","Banque de sang","","","Administré CMV",""
"1039-7","G Ag","PrThr","Temps ponctuel","GR^Unité de produit sanguin","Ordinal","","Banque de sang","","","Antigène",""
"10550-2","Témazépam","Concentration de masse","Temps ponctuel","Sérum/Plasma","Quantitatif","","Médicaments et produits toxiques","","","",""
"1099-1","K petit p exposant petit a Ac","PrThr","Temps ponctuel","Sérum/Plasma","Ordinal","","Banque de sang","","","Anticorps",""
"11101-3","Bactéries","Nombre par unité de surface","Temps ponctuel","Liquide synovial","Quantitatif","Microscopie.fond clair.grossissement 400X","Microbiologie","","","",""
"11261-5","Bactéries","Présence ou identité","Temps ponctuel","Vaginal","Nominal","Culture aérobie","Microbiologie","","","",""
"11475-1","Microorganisme","Présence ou identité","Temps ponctuel","XXX","Nominal","Culture","Microbiologie","","","",""
"12178-0","Bactéries","PrThr","Temps ponctuel","Génital","Ordinal","Préparation humide","Microbiologie","","","",""
"12281-2","Bactéries","Présence ou identité","Temps ponctuel","Col de l'utérus","Nominal","Culture anaérobique","Microbiologie","","","",""
"12814-0","Potassium","Concentration de substance","Temps ponctuel","Corps vitré","Quantitatif","","Chimie","","","K+",""
"13314-0","Bactéries","Présence ou identité","Temps ponctuel","Liquide séminal","Nominal","","Microbiologie","","","",""
"13315-7","Bactéries","Présence ou identité","24 h","Urine","Nominal","Culture","Microbiologie","","","",""
"14093-9","Bactéries","Présence ou identité","Temps ponctuel","Eau","Nominal","Culture","Microbiologie","","","",""
"14124-2","Bactéries","PrThr","Temps ponctuel","Liquide séminal","Ordinal","Microscopie.fond clair","Fertilité","","","",""
"14172-1","Potassium","Concentration de substance","Temps ponctuel","Liquide synovial","Quantitatif","","Chimie","","","K+",""
"14320-6","Bactéries","Présence ou identité","Temps ponctuel","Urine","Nominal","Culture dilution 1:100","Microbiologie","","","",""
"14325-5","Bactéries","Présence ou identité","Temps ponctuel","XXX","Nominal","Culture d'environnement","Microbiologie","","","",""
"14394-1","Azote uréique","Concentration de masse","Temps ponctuel","Liquide pleural","Quantitatif","","Chimie","","","BUN",""
"14396-6","Azote uréique","Concentration de masse","Temps ponctuel","Liquide synovial","Quantitatif","","Chimie","","","BUN",""
"14402-2","Créatinine","Concentration de masse","Temps ponctuel","Liquide gastrique","Quantitatif","","Chimie","","","",""
"14407-1","Phosphate","Concentration de masse","Temps ponctuel","Liquide gastrique","Quantitatif","","Chimie","","","",""
"14475-8","Bactéries","Présence ou identité","Temps ponctuel","Col de l'utérus","Nominal","Culture aérobie","Microbiologie","","","",""
"14477-4","Bactéries","Présence ou identité","Temps ponctuel","Urètre","Nominal","Culture aérobie","Microbiologie","","","Urèthre",""
"14478-2","Bactéries","Présence ou identité","Temps ponctuel","Pénis","Nominal","Culture aérobie","Microbiologie","","","Verge",""
"15202-5","Potassium","Concentration de substance","Temps ponctuel","Selles","Quantitatif","","Chimie","","","K+",""
"17279-1","Bactéries","Présence ou identité","Temps ponctuel","Liquide pleural","Nominal","Culture aérobie","Microbiologie","","","",""
"17795-6","Potassium","Concentration de substance","Temps ponctuel","Solution d'alimentation parentérale","Quantitatif","","Chimie","","","K+",""
"17898-8","Bactéries","Présence ou identité","Temps ponctuel","Gorge","Nominal","Culture aérobie","Microbiologie","","","",""
"17909-3","Bactéries","Présence ou identité","Temps ponctuel","Plaie.profonde","Nominal","Culture aérobie","Microbiologie","","","",""
"17915-0","Bactéries","Présence ou identité","Temps ponctuel","Plaie superficielle","Nominal","Culture aérobie","Microbiologie","","","",""
"17925-9","Bactéries","Présence ou identité","Temps ponctuel","Plaie.profonde","Nominal","Culture anaérobique","Microbiologie","","","",""
"17928-3","Bactéries","Présence ou identité","Temps ponctuel","Sang","Nominal","Culture aérobie","Microbiologie","","","",""
"17934-1","Bactéries","Présence ou identité","Temps ponctuel","Sang","Nominal","Culture anaérobique","Microbiologie","","","",""
"17956-4","Bactéries","Présence ou identité","Temps ponctuel","Liquide biologique","Nominal","Culture anaérobique","Microbiologie","","","",""
"17969-7","Bactéries","Présence ou identité","Temps ponctuel","Urine","Nominal","Culture aérobie","Microbiologie","","","",""
"18192-5","Bactéries","PrThr","Temps ponctuel","Nez","Ordinal","Microscopie.fond clair","Microbiologie","","","",""
"18372-3","Potassium","Débit de substance","6 h","Urine","Quantitatif","","Chimie","","","K+",""
"19096-7","Électrolytes","Impression/interprétation d'étude","24 h","Urine","Narratif","","Chimie","","","",""
"19126-2","Bactéries","Présence ou identité","Temps ponctuel","Moelle osseuse","Nominal","Culture aérobie","Microbiologie","","","",""
"19127-0","Bactéries","Présence ou identité","Temps ponctuel","Expectorations","Nominal","Culture Syndrome respiratoire aigu sévère","Microbiologie","","","",""
"19128-8","Bactéries","Présence ou identité","Temps ponctuel","Bout de cathéter","Nominal","Culture","Microbiologie","","","",""
"20474-3","Bactéries","Présence ou identité","Temps ponctuel","Tissu","Nominal","Culture de biopsie","Microbiologie","","","Biopsie.Culture",""
"20694-6","Bactéries","Présence ou identité","Temps ponctuel","^Embryon","Nominal","Culture aérobie","Microbiologie","","","",""
"20695-3","Bactéries","Concentration numérique","Temps ponctuel","Lait maternel","Quantitatif","","Microbiologie","","","",""
"20877-7","Bactéries","Présence ou identité","Temps ponctuel","Isolat","Nominal","Inoculation animale","Microbiologie","","","",""
"20878-5","Bactéries","Présence ou identité","Temps ponctuel","Isolat","Nominal","Culture anaérobique","Microbiologie","","","",""
"20879-3","Bactéries","Présence ou identité","Temps ponctuel","Lait","Nominal","Culture aérobie","Microbiologie","","","",""
