"LOINC_NUM","COMPONENT","PROPERTY","TIME_ASPCT","SYSTEM","SCALE_TYP","METHOD_TYP","CLASS","SHORTNAME","LONG_COMMON_NAME","RELATEDNAMES2","LinguisticVariantDisplayName"
"89248-9","Microorganisme","Identification","Ponctuel","Cas index pour un évènement","Résultat nominal","","Santé publique","","Microorganisme [Identification] Cas index pour un évènement ; Résultat nominal","",""
"89643-1","Bactérie","Identification","Ponctuel","Échantillon du système respiratoire inférieur","Résultat nominal","Culture aérobie","Microbiologie","","Bactérie [Identification] Échantillon du système respiratoire inférieur ; Résultat nominal ; Culture aérobie","",""
"90274-2","Bactérie","Identification","Ponctuel","Cathéter","Résultat nominal","Culture aérobie","Microbiologie","","Bactérie [Identification] Cathéter ; Résultat nominal ; Culture aérobie","",""
"90276-7","Bactérie","Identification","Ponctuel","Sperme","Résultat nominal","Culture anaérobie","Microbiologie","","Bactérie [Identification] Sperme ; Résultat nominal ; Culture anaérobie","",""
"90281-7","Bactérie","Identification","Ponctuel","Ascite","Résultat nominal","Culture aérobie","Microbiologie","","Bactérie [Identification] Ascite ; Résultat nominal ; Culture aérobie","",""
"90270-0","Bactérie","Identification","Ponctuel","Bile","Résultat nominal","Culture aérobie","Microbiologie","","Bactérie [Identification] Bile ; Résultat nominal ; Culture aérobie","",""
"90273-4","Bactérie","Identification","Ponctuel","Cathéter","Résultat nominal","Culture anaérobie","Microbiologie","","Bactérie [Identification] Cathéter ; Résultat nominal ; Culture anaérobie","",""
"90279-1","Bactérie","Identification","Ponctuel","Sperme","Résultat nominal","Culture aérobie","Microbiologie","","Bactérie [Identification] Sperme ; Résultat nominal ; Culture aérobie","",""
"90280-9","Bactérie","Identification","Ponctuel","Liquide de dialyse péritonéale","Résultat nominal","Culture aérobie","Microbiologie","","Bactérie [Identification] Liquide de dialyse péritonéale ; Résultat nominal ; Culture aérobie","",""
"90278-3","Bactérie","Identification","Ponctuel","Liquide synovial","Résultat nominal","Culture aérobie","Microbiologie","","Bactérie [Identification] Liquide synovial ; Résultat nominal ; Culture aérobie","",""
"90271-8","Bactérie","Identification","Ponctuel","Liquide péricardique","Résultat nominal","Culture aérobie","Microbiologie","","Bactérie [Identification] Liquide péricardique ; Résultat nominal ; Culture aérobie","",""
"90277-5","Bactérie","Identification","Ponctuel","Liquide de dialyse péritonéale","Résultat nominal","Culture anaérobie","Microbiologie","","Bactérie [Identification] Liquide de dialyse péritonéale ; Résultat nominal ; Culture anaérobie","",""
"90324-5","Mycoplasma hyopneumoniae ADN","Présence/Seuil","Ponctuel","Milieux divers","Qualitatif","PCR amplification de cible","Microbiologie","","Mycoplasma hyopneumoniae ADN [Présence/Seuil] Milieux divers ; Qualitatif ; PCR amplification de cible","",""
"90444-1","Diéthylpropion","Masse/Volume","Ponctuel","Sérum/Plasma/Sang","Numérique","Confirmation","Toxicologie","","Diéthylpropion [Masse/Volume] Sérum/Plasma/Sang ; Numérique ; Confirmation","",""
"91063-8","Bactérie","Identification","Ponctuel","Poche de plaquettes","Résultat nominal","Culture aérobie","Microbiologie","","Bactérie [Identification] Poche de plaquettes ; Résultat nominal ; Culture aérobie","",""
"102820-8","Sole Ac IgG","Présence/Seuil","Ponctuel","Sérum","Semi-Quantitatif","RAST","Allergie","","Sole Ac IgG [Présence/Seuil] Sérum ; Semi-Quantitatif ; RAST","",""
"85818-3","Temps de formation du caillot+Temps de coagulation","Temps","Ponctuel","Sang","Numérique","Thromboélastogramme","Hémostase","","Temps de formation du caillot+Temps de coagulation [Temps] Sang ; Numérique ; Thromboélastogramme","",""
"91819-3","Bactérie","Identification","Ponctuel","Échantillon du système respiratoire supérieur","Résultat nominal","Culture aérobie","Microbiologie","","Bactérie [Identification] Échantillon du système respiratoire supérieur ; Résultat nominal ; Culture aérobie","",""
"92253-4","Microorganisme","Identification","Ponctuel","Isolat/échantillon","Résultat nominal","Biologie moléculaire","Microbiologie","","Microorganisme [Identification] Isolat/échantillon ; Résultat nominal ; Biologie moléculaire","",""
"104684-6","1,1-diméthoxy-(9Z)octadécène","Masse/Volume","Ponctuel","Sang buvard","Numérique","","Biochimie","","1,1-diméthoxy-(9Z)octadécène [Masse/Volume] Sang buvard ; Numérique","",""
"104553-3","Microorganisme","Identification","Ponctuel","Hémoculture positive","Résultat nominal","Spectrométrie MALDI-TOF","Microbiologie","","Microorganisme [Identification] Hémoculture positive ; Résultat nominal ; Spectrométrie MALDI-TOF","",""
"104597-0","Glucose","Masse/Volume","Ponctuel","Sang veineux","Numérique","Glucomètre","Biochimie","","Glucose [Masse/Volume] Sang veineux ; Numérique ; Glucomètre","",""
"93429-9","Blastomyces Ag","Masse/Volume","Ponctuel","Urine","Numérique","Immunoanalyse","Microbiologie","","Blastomyces Ag [Masse/Volume] Urine ; Numérique ; Immunoanalyse","",""
"105908-8","Bactérie","Nombre/Champ","Ponctuel","Sédiments urinaires","Numérique","","Analyses urinaires","","Bactérie [Nombre/Champ] Sédiments urinaires ; Numérique","",""
"93432-3","Blastomyces Ag","Masse/Volume","Ponctuel","Liquide bronchoalvéolaire","Numérique","Immunoanalyse","Microbiologie","","Blastomyces Ag [Masse/Volume] Liquide bronchoalvéolaire ; Numérique ; Immunoanalyse","",""
"105933-6","Bactérie","Identification","Ponctuel","Plaie chirurgicale","Résultat nominal","Culture anaérobie","Microbiologie","","Bactérie [Identification] Plaie chirurgicale ; Résultat nominal ; Culture anaérobie","",""
"102896-8","Blatte orientale Ac IgE","Présence/Seuil","Ponctuel","Sérum","Semi-Quantitatif","RAST","Allergie","","Blatte orientale Ac IgE [Présence/Seuil] Sérum ; Semi-Quantitatif ; RAST","",""
"95074-1","Bactérie","Présence/Seuil","Ponctuel","Liquide bronchoalvéolaire","Qualitatif","Microscopie optique","Microbiologie","","Bactérie [Présence/Seuil] Liquide bronchoalvéolaire ; Qualitatif ; Microscopie optique","",""
"95095-6","Glucagon T02h post prandial","Masse/Volume","Ponctuel","Sérum/Plasma","Numérique","","Tests","","Glucagon T02h post prandial [Masse/Volume] Sérum/Plasma ; Numérique","",""
