"LOINC_NUM","COMPONENT","PROPERTY","TIME_ASPCT","SYSTEM","SCALE_TYP","METHOD_TYP","CLASS","SHORTNAME","LONG_COMMON_NAME","RELATEDNAMES2","LinguisticVariantDisplayName"
"102896-8","Blatta orientalis Ab.IgE","PrThr","Pt","Siero","SemiQn","RAST","ALLERGIA","","","anticorpi anti-IgE anticorpo Presenza o Soglia Punto nel tempo (episodio) Risposta agli antigeni Scarafaggio nero comune (Blatta orientalis) Siero Test di radioallergoassorbimento (RAST)",""
"87856-1","Sezioni multiple^Con contrasto EV","Osservazione","Pt","Testa+Collo>Poligono di Willis+Arterie della carotide","Doc","TC.angio","RADIOLOGIA","","","Angio tomografia computerizzata Multistrato Osservazione Poligono di Willis Poligono di Willis e Arterie della carotide Punto nel tempo (episodio) Radiologia Testa e Collo Tomografia computerizzata (TC)",""
"88142-5","Batteri","Prid","Pt","Cornea/Congiuntiva","Nom","Coltura aerobica","MICRO","","","Coltura aerobi Cornea o congiuntiva Microbiologia Presenza o Identità Punto nel tempo (episodio)",""
"91865-6","Batteri","Prid","Pt","Genitale","Nom","Coltura anaerobica","MICRO","","","Coltura anaerobi Microbiologia Presenza o Identità Punto nel tempo (episodio)",""
"91866-4","Batteri","Prid","Pt","Bocca","Nom","Coltura aerobica","MICRO","","","Coltura aerobi Microbiologia Presenza o Identità Punto nel tempo (episodio)",""
"92253-4","Microrganismo","Prid","Pt","Isolato/Campione","Nom","Molgen","MICRO","","","Genetica molecolare Isolato o Campione Microbiologia Presenza o Identità Punto nel tempo (episodio)",""
"104865-1","Batteri","PrThr","Pt","Urine","Ord","Assistito da computer","MICRO","","","Metodo computer assisted Microbiologia Presenza o Soglia Punto nel tempo (episodio)",""
"89643-1","Batteri","Prid","Pt","Campione da Sistema Respiratorio.inferiore","Nom","Coltura aerobica","MICRO","","","Campione da Apparato Respiratorio Campione da apparato respiratorio inferiore Coltura aerobi Microbiologia Presenza o Identità Punto nel tempo (episodio)",""
"89644-9","Batteri","Prid","Pt","Campione da Sistema Respiratorio.inferiore","Nom","Coltura anaerobica","MICRO","","","Campione da Apparato Respiratorio Campione da apparato respiratorio inferiore Coltura anaerobi Microbiologia Presenza o Identità Punto nel tempo (episodio)",""
"91818-5","Batteri","Prid","Pt","Campione da Sistema Respiratorio.superiore","Nom","Coltura anaerobica","MICRO","","","Campione da Apparato Respiratorio Campione da apparato respiratorio superiore Coltura anaerobi Microbiologia Presenza o Identità Punto nel tempo (episodio)",""
"91819-3","Batteri","Prid","Pt","Campione da Sistema Respiratorio.superiore","Nom","Coltura aerobica","MICRO","","","Campione da Apparato Respiratorio Campione da apparato respiratorio superiore Coltura aerobi Microbiologia Presenza o Identità Punto nel tempo (episodio)",""
"106018-5","Batteri","NCnc","Pt","Liquido seminale","Qn","Coltura","MICRO","","","Concentrazione Numerica Microbiologia Punto nel tempo (episodio) Sperma;seme",""
"105917-9","Batteri","Prid","Pt","BAL","Nom","Coltura","MICRO","","","Lavaggio Bronco Alveolare Microbiologia Presenza o Identità Punto nel tempo (episodio)",""
"100041-3","Ammninoglicoside","Susc","Pt","Isolato","OrdQn","","SUSC ANTIB","","","Punto nel tempo (episodio) Sensibilità (microrganismi) Suscettibilità agli antibiotici",""
"90324-5","Mycoplasma hyopneumoniae DNA","PrThr","Pt","XXX","Ord","Sonda.amp.tar","MICRO","","","Microbiologia Presenza o Soglia Punto nel tempo (episodio) Sonda con amplificazione Sonda con amplificazione del target Sonda di DNA",""
"90277-5","Batteri","Prid","Pt","Liquido di dialisi peritoneale","Nom","Coltura anaerobica","MICRO","","","Coltura anaerobi Dialisato Liquido di dialisi peritoneale Microbiologia Presenza o Identità Punto nel tempo (episodio)",""
"90279-1","Batteri","Prid","Pt","Liquido seminale","Nom","Coltura aerobica","MICRO","","","Coltura aerobi Microbiologia Presenza o Identità Punto nel tempo (episodio) Sperma;seme",""
"90281-7","Batteri","Prid","Pt","Liquido peritoneale","Nom","Coltura aerobica","MICRO","","","Coltura aerobi Liquido peritoneale Microbiologia Presenza o Identità Punto nel tempo (episodio)",""
"90280-9","Batteri","Prid","Pt","Liquido di dialisi peritoneale","Nom","Coltura aerobica","MICRO","","","Coltura aerobi Dialisato Liquido di dialisi peritoneale Microbiologia Presenza o Identità Punto nel tempo (episodio)",""
"90270-0","Batteri","Prid","Pt","Liquido biliare","Nom","Coltura aerobica","MICRO","","","Coltura aerobi Liquido biliare Microbiologia Presenza o Identità Punto nel tempo (episodio)",""
"90271-8","Batteri","Prid","Pt","Liquido pericardico","Nom","Coltura aerobica","MICRO","","","Coltura aerobi Liquido pericardico Microbiologia Presenza o Identità Punto nel tempo (episodio)",""
