"LOINC_NUM","COMPONENT","PROPERTY","TIME_ASPCT","SYSTEM","SCALE_TYP","METHOD_TYP","CLASS","SHORTNAME","LONG_COMMON_NAME","RELATEDNAMES2","LinguisticVariantDisplayName"
"10391-1","거대세포바이러스 면역 글로불린 투여량","부피","검사시점","^환자","정량","","","","","",""
"11101-3","세균","면적당갯수","검사시점","활액","정량","편광현미경.고배율","","","","",""
"10525-4","현미경적 관찰","존재","검사시점","XXX","명칭결과","세포 염색","","","","",""
"1039-7","G 항원","임의농도","검사시점","적혈구^혈액제제단위","순위척도","","","","","",""
"10352-3","세균 동정","존재","검사시점","생식기","명칭결과","호기성 배양","","","","",""
"10353-1","세균 동정","존재","검사시점","코","명칭결과","호기성 배양","","","","",""
"10354-9","세균 동정","존재","검사시점","요도","명칭결과","배양","","","","",""
"1099-1","Kp^a 항체","임의농도","검사시점","혈청/혈장","순위척도","","","","","",""
"12178-0","세균","임의농도","검사시점","생식기","순위척도","젖은 표본","","","","",""
"12814-0","칼륨","물질농도","검사시점","유리체액","정량","","","","","",""
"14172-1","칼륨","물질농도","검사시점","활액","정량","","","","","",""
"14320-6","세균 동정","존재","검사시점","뇨","명칭결과:배양 @1:100","","","","","",""
"14475-8","세균 동정","존재","검사시점","자궁","명칭결과","호기성 배양","","","","",""
"14477-4","세균 동정","존재","검사시점","요도","명칭결과","호기성 배양","","","","",""
"14478-2","세균 동정","존재","검사시점","음경","명칭결과","호기성 배양","","","","",""
"15202-5","칼륨","물질농도","검사시점","대변","정량","","","","","",""
"17795-6","칼륨","물질농도","검사시점","고장액","정량","","","","","",""
"17909-3","세균 동정","존재","검사시점","깊은상처","명칭결과","호기성 배양","","","","",""
"17969-7","세균 동정","존재","검사시점","뇨","명칭결과","호기성 배양","","","","",""
"19128-8","세균 동정","존재","검사시점","카테터 팁","명칭결과","배양","","","","",""
"20693-8","세균 동정","존재","검사시점","요도","명칭결과","호기성 배양","","","","",""
"20694-6","세균 동정","존재","검사시점","^배아","명칭결과","호기성 배양","","","","",""
"20695-3","세균","계수/부피","검사시점","모유","정량","","","","","",""
"20877-7","세균 동정","존재","검사시점","분리주","명칭결과","동물 배양","","","","",""
"20878-5","세균 동정","존재","검사시점","분리주","명칭결과","혐기성 배양","","","","",""
"20879-3","세균 동정","존재","검사시점","우유","명칭결과","호기성 배양","","","","",""
"21020-3","세균 동정","존재","검사시점","XXX","명칭결과","혐기성+호기성 배양","","","","",""
"22760-3","칼륨","질량농도","검사시점","혈청/혈장","정량","","","","","",""
"21476-7","칼륨","물질농도","24시간","뇨","정량","","","","","",""
"20474-3","세균 동정","존재","검사시점","조직","명칭결과","생검 배양","","","","",""
"19096-7","전해질","해석","24시간","뇨","설명적인","","","","","",""
"19126-2","세균 동정","존재","검사시점","골수","명칭결과","호기성 배양","","","","",""
"19127-0","세균 동정","존재","검사시점","객담","명칭결과","급성 호흡 곤란 배양","","","","",""
"18192-5","세균","임의농도","검사시점","코","순위척도","편광현미경","","","","",""
"18372-3","칼륨","물질비","6시간","뇨","정량","","","","","",""
"17934-1","세균 동정","존재","검사시점","전혈","명칭결과","혐기성 배양","","","","",""
