"LOINC_NUM","COMPONENT","PROPERTY","TIME_ASPCT","SYSTEM","SCALE_TYP","METHOD_TYP","CLASS","SHORTNAME","LONG_COMMON_NAME","RELATEDNAMES2","LinguisticVariantDisplayName"
"106018-5","bacteriën","aantal/volume","moment","sperma","kwantitatief","kweek","microbiologie","","Bacteriën [aantal/volume] in sperma d.m.v. kweek","bacterie",""
"55380-0","West-Nijlvirus As","titer","moment","serum","semikwantitatief","hemagglutinatieremming","microbiologie","","West-Nijlvirus As [titer] in serum d.m.v. hemagglutinatieremming","antistof; antilichaam",""
"54443-7","Echovirus 2 As","titer","moment","serum","semikwantitatief","","microbiologie","","Echovirus 2 As [titer] in serum","antistof; antilichaam",""
"76346-6","micro-organisme","identificator","moment","isolaat","nominaal","MALDI-TOF","microbiologie","","Micro-organisme [identificator] in isolaat d.m.v. MALDI-TOF","massaspectometrie; Malditof",""
"91063-8","bacteriën","identificator","moment","trombocyten^bloedproducteenheid","nominaal","aerobe kweek","microbiologie","","Bacteriën [identificator] in trombocyten^bloedproducteenheid d.m.v. aerobe kweek","bacterie plaatjes; bloedplaatjes",""
"101421-6","Humaan coronavirus NL63 RNA","aanwezigheid","moment","respiratoir monster","ordinaal","probe-detectie","microbiologie","","Humaan coronavirus NL63 RNA [aanwezigheid] in respiratoir monster d.m.v. probe-detectie","probe.amp.tar systema respiratorium; ademhalingsstelsel",""
"105933-6","bacteriën","identificator","moment","operatiewond","nominaal","anaerobe kweek","microbiologie","","Bacteriën [identificator] in operatiewond d.m.v. anaerobe kweek","bacterie chirurgische wond",""
"106042-5","bacteriën","identificator","moment","moedermelk","nominaal","kweek","microbiologie","","Bacteriën [identificator] in moedermelk d.m.v. kweek","bacterie",""
"105924-5","bacteriën","identificator","moment","operatiewond","nominaal","kweek","microbiologie","","Bacteriën [identificator] in operatiewond d.m.v. kweek","bacterie chirurgische wond",""
"106016-9","bacteriën","identificator","moment","penis","nominaal","kweek","microbiologie","","Bacteriën [identificator] in penis d.m.v. kweek","bacterie",""
"106032-6","bacteriën","identificator","moment","pus","nominaal","kweek","microbiologie","","Bacteriën [identificator] in pus d.m.v. kweek","bacterie etter",""
"106033-4","bacteriën","identificator","moment","pus","nominaal","anaerobe kweek","microbiologie","","Bacteriën [identificator] in pus d.m.v. anaerobe kweek","bacterie etter",""
"102896-8","Blatta orientalis As.IgE","aanwezigheid","moment","serum","semikwantitatief","RAST","allergologie","","Blatta orientalis As.IgE [aanwezigheid] in serum d.m.v. RAST","antistof; antilichaam oosterse kakkerlak radioallergosorbent test",""
"102820-8","Solea solea As.IgG","aanwezigheid","moment","serum","semikwantitatief","RAST","allergologie","","Solea solea As.IgG [aanwezigheid] in serum d.m.v. RAST","antistof; antilichaam radioallergosorbent test tong",""
"87941-1","bacteriën","identificator","moment","placenta","nominaal","anaerobe kweek","microbiologie","","Bacteriën [identificator] in placenta d.m.v. anaerobe kweek","bacterie",""
"89248-9","micro-organisme","identificator","moment","indexcasus^gebeurtenis","nominaal","","PUBLICHEALTH","","Micro-organisme [identificator] in indexcasus^gebeurtenis","",""
"93432-3","Blastomyces sp. Ag","massa/volume","moment","bronchoalveolaire wassing","kwantitatief","immunoassay","microbiologie","","Blastomyces sp. Ag [massa/volume] in bronchoalveolaire wassing d.m.v. immunoassay","antigeen IA",""
"91062-0","bacteriën","identificator","moment","trombocyten^bloedproducteenheid","nominaal","anaerobe kweek","microbiologie","","Bacteriën [identificator] in trombocyten^bloedproducteenheid d.m.v. anaerobe kweek","bacterie plaatjes; bloedplaatjes",""
"93429-9","Blastomyces sp. Ag","massa/volume","moment","urine","kwantitatief","immunoassay","microbiologie","","Blastomyces sp. Ag [massa/volume] in urine d.m.v. immunoassay","antigeen IA",""
"15507-7","voortgangsrapport","bevinding","moment","spoedeisende hulp","document","{rol}","document-ontologie","","Voortgangsrapport [bevinding] in spoedeisende hulp d.m.v. {rol} (document)","SEH",""
"88683-8","bacteriën","identificator","moment","bronchoalveolaire wassing","nominaal","anaerobe kweek","microbiologie","","Bacteriën [identificator] in bronchoalveolaire wassing d.m.v. anaerobe kweek","bacterie",""
"75756-7","bacteriën","identificator","moment","isolaat","nominaal","MALDI-TOF","microbiologie","","Bacteriën [identificator] in isolaat d.m.v. MALDI-TOF","bacterie massaspectometrie; Malditof",""
"105051-7","bacteriën","aantal/gezichtsveld","moment","urinesediment","kwantitatief","microscopie","microbiologie","","Bacteriën [aantal/gezichtsveld] in urinesediment d.m.v. microscopie","bacterie",""
"105052-5","bacteriën","aanwezigheid","moment","urinesediment","ordinaal","microscopie","microbiologie","","Bacteriën [aanwezigheid] in urinesediment d.m.v. microscopie","bacterie",""
"617-1","bacteriën","identificator","moment","placenta","nominaal","aerobe kweek","microbiologie","","Bacteriën [identificator] in placenta d.m.v. aerobe kweek","bacterie",""
"90270-0","bacteriën","identificator","moment","galvocht","nominaal","aerobe kweek","microbiologie","","Bacteriën [identificator] in galvocht d.m.v. aerobe kweek","bacterie",""
"90273-4","bacteriën","identificator","moment","katheteruiteinde","nominaal","anaerobe kweek","microbiologie","","Bacteriën [identificator] in katheteruiteinde d.m.v. anaerobe kweek","bacterie",""
"90280-9","bacteriën","identificator","moment","periteonale dialysevloeistof","nominaal","aerobe kweek","microbiologie","","Bacteriën [identificator] in periteonale dialysevloeistof d.m.v. aerobe kweek","bacterie",""
"90274-2","bacteriën","identificator","moment","katheteruiteinde","nominaal","aerobe kweek","microbiologie","","Bacteriën [identificator] in katheteruiteinde d.m.v. aerobe kweek","bacterie",""
"90276-7","bacteriën","identificator","moment","sperma","nominaal","anaerobe kweek","microbiologie","","Bacteriën [identificator] in sperma d.m.v. anaerobe kweek","bacterie",""
"90279-1","bacteriën","identificator","moment","sperma","nominaal","aerobe kweek","microbiologie","","Bacteriën [identificator] in sperma d.m.v. aerobe kweek","bacterie",""
"90281-7","bacteriën","identificator","moment","peritoneaalvocht","nominaal","aerobe kweek","microbiologie","","Bacteriën [identificator] in peritoneaalvocht d.m.v. aerobe kweek","bacterie",""
"95675-5","gelekoortsvirus As.IgG","aanwezigheid","moment","XXX","ordinaal","immunoassay","microbiologie","","Gelekoortsvirus As.IgG [aanwezigheid] d.m.v. immunoassay","antistof; antilichaam IA",""
"95594-8","24,25-dihydroxyvitamine D3","massa/volume","moment","capillair bloed","kwantitatief","","chemie - zonder belasting","","24,25-dihydroxyvitamine D3 [massa/volume] in capillair bloed","calcidiol; vitamine D3",""
"95074-1","bacteriën","aanwezigheid","moment","bronchoalveolaire wassing","ordinaal","microscopie.licht","microbiologie","","Bacteriën [aanwezigheid] in bronchoalveolaire wassing d.m.v. microscopie.licht","bacterie lichtmicroscopie",""
"95084-0","C peptide^2 uur na maaltijd","massa/volume","moment","serum of plasma","kwantitatief","","chemie - met belasting","","C peptide^2 uur na maaltijd [massa/volume] in serum of plasma","2U na maaltijd",""
"95095-6","glucagon^2 uur na maaltijd","massa/volume","moment","serum of plasma","kwantitatief","","chemie - met belasting","","Glucagon^2 uur na maaltijd [massa/volume] in serum of plasma","2U na maaltijd",""
"10525-4","waarneming","identificator","moment","XXX","nominaal","cytokleuring","cytologie","","Waarneming [identificator] d.m.v. cytokleuring","",""
