"LOINC_NUM","COMPONENT","PROPERTY","TIME_ASPCT","SYSTEM","SCALE_TYP","METHOD_TYP","CLASS","SHORTNAME","LONG_COMMON_NAME","RELATEDNAMES2","LinguisticVariantDisplayName"
"58996-0","Potas","wskaźnik molowy w jednostce czasu","18 godzin","mocz","ilościowy","","badania biochemiczne - testy bez obciążenia","","","",""
"2830-8","Potas klirens nerkowy","wskaźnik objętości w jednostce czasu","24 godziny","mocz i surowica lub osocze","ilościowy","","badania biochemiczne - testy bez obciążenia","","","",""
"89344-6","Komórki.CD38+IgM-/100 komórek CD19","frakcja liczbowa","punkt w czasie","krew","ilościowy","","markery komórkowe","","","CD19 CD38 IgM Komórki CD19 Komórki CD38+IgM- Komórki CD38+IgM-/100 Komórki CD19 Komórki CD38+IgM+ Komórki CD38+IgM+/100 Komórki CD19",""
"104597-0","Glukoza","stężenie masowe","punkt w czasie","krew żylna","ilościowy","glukometr","badania biochemiczne - testy bez obciążenia","","","",""
"104553-3","Mikroorganizm","wykrycie lub identyfikacja","punkt w czasie","dodatni posiew krwi","cecha","spektrometria mas.MALDI-TOF","MICRO","","","Mikroorganizm",""
"2827-4","Potas","stężenie molowe","punkt w czasie","pot","ilościowy","","badania biochemiczne - testy bez obciążenia","","","",""
"2828-2","Potas","stężenie molowe","punkt w czasie","mocz","ilościowy","","badania biochemiczne - testy bez obciążenia","","","",""
"2829-0","Potas","wskaźnik molowy w jednostce czasu","24 godziny","mocz","ilościowy","","badania biochemiczne - testy bez obciążenia","","","",""
"35677-4","Potas","stężenie molowe","nieokreślony","mocz","ilościowy","","badania biochemiczne - testy bez obciążenia","","","",""
"57355-0","Potas","stężenie molowe","12 godzin","mocz","ilościowy","","badania biochemiczne - testy bez obciążenia","","","",""
"10390-3","Specjalne przygotowanie produktu krwiopochodnego","typ","punkt w czasie","^jednostka krwi pełnej","cecha","","bank krwi","","","",""
"2819-1","Potas","stężenie molowe","punkt w czasie","płyn mózgowo-rdzeniowy","ilościowy","","badania biochemiczne - testy bez obciążenia","","","",""
"2820-9","Potas","stężenie molowe","punkt w czasie","płyn dializacyjny","ilościowy","","badania biochemiczne - testy bez obciążenia","","","",""
"32336-0","Potas","stężenie molowe","punkt w czasie","XXX","ilościowy","","badania biochemiczne - testy bez obciążenia","","","",""
"32713-0","Potas","stężenie molowe","punkt w czasie","krew tętnicza","ilościowy","","badania biochemiczne - testy bez obciążenia","","","",""
"3105-4","Urobilinogen","granica wykrywalności","punkt w czasie","kał","półilościowy","","badania biochemiczne - testy bez obciążenia","","","",""
"32550-6","Potas","liczba moli","nieokreślony","mocz","ilościowy","","badania biochemiczne - testy bez obciążenia","","","",""
"2823-3","Potas","stężenie molowe","punkt w czasie","surowica lub osocze","ilościowy","","badania biochemiczne - testy bez obciążenia","","","",""
"2824-1","Potas","stężenie molowe","punkt w czasie","krwinki czerwone","ilościowy","","badania biochemiczne - testy bez obciążenia","","","",""
"2825-8","Potas","stężenie molowe","punkt w czasie","ślina","ilościowy","","badania biochemiczne - testy bez obciążenia","","","",""
"2826-6","Potas","wskaźnik molowy w jednostce czasu","72 godziny","kał","ilościowy","","badania biochemiczne - testy bez obciążenia","","","",""
"2821-7","Potas","stężenie molowe","punkt w czasie","płyn ustrojowy","ilościowy","","badania biochemiczne - testy bez obciążenia","","","",""
"2822-5","Potas","stężenie molowe","punkt w czasie","sok żołądkowy","ilościowy","","badania biochemiczne - testy bez obciążenia","","","",""
"30549-0","Potas","stężenie molowe","punkt w czasie","preparaty do żywienia pozajelitowego","ilościowy","","badania biochemiczne - testy bez obciążenia","","","",""
"25506-7","Potas","zawartość molowa","punkt w czasie","kał","ilościowy","","badania biochemiczne - testy bez obciążenia","","","",""
"27441-5","Potas","zawartość molowa","24 godziny","kał","ilościowy","","badania biochemiczne - testy bez obciążenia","","","",""
"18372-3","Potas","wskaźnik molowy w jednostce czasu","6 godzin","mocz","ilościowy","","badania biochemiczne - testy bez obciążenia","","","",""
"14394-1","Azot mocznika","stężenie masowe","punkt w czasie","płyn opłucnowy","ilościowy","","badania biochemiczne - testy bez obciążenia","","","",""
"15202-5","Potas","stężenie molowe","punkt w czasie","kał","ilościowy","","badania biochemiczne - testy bez obciążenia","","","",""
"14396-6","Azot mocznika","stężenie masowe","punkt w czasie","płyn stawowy","ilościowy","","badania biochemiczne - testy bez obciążenia","","","",""
"14407-1","Fosforany","stężenie masowe","punkt w czasie","sok żołądkowy","ilościowy","","badania biochemiczne - testy bez obciążenia","","","",""
"57379-0","Potas","stężenie molowe","2 godziny","mocz","ilościowy","","badania biochemiczne - testy bez obciążenia","","","",""
"11475-1","Mikroorganizm","wykrycie lub identyfikacja","punkt w czasie","XXX","cecha","hodowla","MICRO","","","Mikroorganizm",""
"76346-6","Mikroorganizm","wykrycie lub identyfikacja","punkt w czasie","izolat","cecha","spektrometria mas.MALDI-TOF","MICRO","","","Mikroorganizm",""
"10525-4","Obserwacja","wykrycie lub identyfikacja","punkt w czasie","XXX","cecha","barwienie Cyto","cytologia","","","",""
"10333-3","Obserwacja","wygląd","punkt w czasie","płyn mózgowo-rdzeniowy","cecha","","informacja o próbce","","","",""
"53123-6","Potas","wskaźnik molowy w jednostce czasu","1 godzina","mocz","ilościowy","","badania biochemiczne - testy bez obciążenia","","","",""
"6298-4","Potas","stężenie molowe","punkt w czasie","krew","ilościowy","","badania biochemiczne - testy bez obciążenia","","","",""
"17795-6","Potas","stężenie molowe","punkt w czasie","odżywianie dożylne","ilościowy","","badania biochemiczne - testy bez obciążenia","","","",""
"39789-3","Potas","stężenie molowe","punkt w czasie","krew żylna","ilościowy","","badania biochemiczne - testy bez obciążenia","","","",""
"22760-3","Potas","stężenie masowe","punkt w czasie","surowica lub osocze","ilościowy","","badania biochemiczne - testy bez obciążenia","","","",""
"55380-0","Wirus gorączki zachodniego Nilu Ab","miano","punkt w czasie","surowica","półilościowy","hamowanie hemaglutynacji","MICRO","","","Przeciwciała do wirusa gorączki zachodniego Nilu",""
"12814-0","Potas","stężenie molowe","punkt w czasie","płyn z ciała szklistego","ilościowy","","badania biochemiczne - testy bez obciążenia","","","",""
"14172-1","Potas","stężenie molowe","punkt w czasie","płyn stawowy","ilościowy","","badania biochemiczne - testy bez obciążenia","","","",""
"14402-2","Kreatynina","stężenie masowe","punkt w czasie","sok żołądkowy","ilościowy","","badania biochemiczne - testy bez obciążenia","","","",""
"21476-7","Potas","stężenie molowe","24 godziny","mocz","ilościowy","","badania biochemiczne - testy bez obciążenia","","","",""
"39785-1","Potas","stężenie molowe","punkt w czasie","płyn dializacyjny otrzewnowy","ilościowy","","badania biochemiczne - testy bez obciążenia","","","",""
"39790-1","Potas","stężenie molowe","punkt w czasie","krew włośniczkowa","ilościowy","","badania biochemiczne - testy bez obciążenia","","","",""
"41656-0","Potas","stężenie molowe","punkt w czasie","krew żylna mieszana","ilościowy","","badania biochemiczne - testy bez obciążenia","","","",""
"49788-3","Potas","stężenie molowe","punkt w czasie","płyn owodniowy","ilościowy","","badania biochemiczne - testy bez obciążenia","","","",""
"49789-1","Potas","stężenie molowe","punkt w czasie","płyn otrzewnowy","ilościowy","","badania biochemiczne - testy bez obciążenia","","","",""
"50902-6","Potas","zawartość molowa","punkt w czasie","włos","ilościowy","","badania biochemiczne - testy bez obciążenia","","","",""
"51720-1","Potas","wskaźnik masowy w jednostce czasu","24 godziny","mocz","ilościowy","","badania biochemiczne - testy bez obciążenia","","","",""
"59162-8","Potas","stężenie molowe","24 godziny","kał","ilościowy","","badania biochemiczne - testy bez obciążenia","","","",""
"5927-9","Potas","stężenie molowe","punkt w czasie","płyn dializacyjny","ilościowy","","badania biochemiczne - testy bez obciążenia","","","",""
"59733-6","Potas","zawartość masowa","punkt w czasie","tkanka i rozmazy","ilościowy","","toksykologia leków","","","",""
"60218-5","Potas","stężenie molowe","punkt w czasie","mleko kobiece","ilościowy","","badania biochemiczne - testy bez obciążenia","","","",""
"57380-8","Potas","wskaźnik molowy w jednostce czasu","12 godzin","mocz","ilościowy","","badania biochemiczne - testy bez obciążenia","","","",""
"6792-6","Potas","wskaźnik molowy w jednostce czasu","24 godziny","kał","ilościowy","","badania biochemiczne - testy bez obciążenia","","","",""
"6940-1","Potas","wskaźnik molowy w jednostce czasu","nieokreślony","kał","ilościowy","","badania biochemiczne - testy bez obciążenia","","","",""
"77142-8","Potas","stężenie molowe","punkt w czasie","surowica, osocze lub krew","ilościowy","","badania biochemiczne - testy bez obciążenia","","","",""
"79710-0","Potas","zawartość masowa","punkt w czasie","włos","ilościowy","","badania biochemiczne - testy bez obciążenia","","","",""
"82722-0","Potas","stężenie masowe","punkt w czasie","krwinki czerwone","ilościowy","","badania biochemiczne - testy bez obciążenia","","","",""
"85818-3","Czas formowania skrzepu+czas krzepnięcia","czas","punkt w czasie","krew","ilościowy","tromboelastografia","krzepnięcie","","","",""
"87455-2","Potas","zawartość masowa","punkt w czasie","XXX","ilościowy","","badania biochemiczne - testy bez obciążenia","","","",""
"87454-5","Potas","stężenie masowe","punkt w czasie","XXX","ilościowy","","badania biochemiczne - testy bez obciążenia","","","",""
"75940-7","Potas","stężenie masowe","punkt w czasie","krew","ilościowy","","badania biochemiczne - testy bez obciążenia","","","",""
"94841-4","Potas","stężenie molowe","punkt w czasie","mocz^płód","ilościowy","","badania biochemiczne - testy bez obciążenia","","","",""
"9482-1","Potas","stężenie masowe","punkt w czasie","woda","ilościowy","","badania biochemiczne - testy bez obciążenia","","","",""
"31157-1","Karboksyhemoglobina","stężenie masowe","punkt w czasie","krew","ilościowy","","badania biochemiczne - testy bez obciążenia","","","Karboksyhemoglobina",""
"36921-5","Wirus opryszczki pospolitej 1+2 Ab.IgG","granica wykrywalności","punkt w czasie","surowica","półilościowy","","MICRO","","","IgG Przeciwciała do wirusa opryszczki pospolitej typu 1 i 2 Przeciwciała do wirusa opryszczki pospolitej typu 1+2 Przeciwciała IgG do wirusa opryszczki pospolitej typu 1 i 2 Przeciwciała IgG do wirusa opryszczki pospolitej typu 1+2 Wirus opryszczki pospolitej Wirus opryszczki pospolitej typu 1 Wirus opryszczki pospolitej typu 1 i 2 Wirus opryszczki pospolitej typu 1+2",""
"43161-9","Mikroorganizm","stężenie liczbowe","punkt w czasie","XXX","ilościowy","ocena żywotności komórek","MICRO","","","koncentracja Mikroorganizm",""
"49034-2","Mikroorganizm","wykrycie lub identyfikacja","punkt w czasie","wydzieliny z szyjki macicy lub pochwy","cecha","barwienie Cyto","cytologia","","","Mikroorganizm",""
"92253-4","Mikroorganizm","wykrycie lub identyfikacja","punkt w czasie","szczep/izolat lub próbka","cecha","genetyka molekularna","MICRO","","","Mikroorganizm",""
"93432-3","Blastomyces sp Ag","stężenie masowe","punkt w czasie","popłuczyny oskrzelowo-pęcherzykowe","ilościowy","metoda immunologiczna","MICRO","","","Antygen Blastomyces sp. Blastomyces sp.",""
"93429-9","Blastomyces sp Ag","stężenie masowe","punkt w czasie","mocz","ilościowy","metoda immunologiczna","MICRO","","","Antygen Blastomyces sp. Blastomyces sp.",""
"95675-5","Wirus żółtej gorączki Ab.IgG","granica wykrywalności","punkt w czasie","XXX","półilościowy","metoda immunologiczna","MICRO","","","IgG Przeciwciała do wirusa żółtej gorączki Przeciwciała IgG do wirusa żółtej gorączki",""
