"LOINC_NUM","COMPONENT","PROPERTY","TIME_ASPCT","SYSTEM","SCALE_TYP","METHOD_TYP","CLASS","SHORTNAME","LONG_COMMON_NAME","RELATEDNAMES2","LinguisticVariantDisplayName"
"10332-5","Cortisol^pré 250 ug corticotrofina IM","MCnc","Pt","Sor/Plas","Qn","","CHAL","Cortis pre 250 ug ACTH IM SerPl-mCnc","","Before; Cortis; Coritsol; Compound F; 17-Hydroxycorticosterone; ACTH; Rc206; c74; Cortrosyn; c206; Adrenocorticotropin; Adrenocorticotrophic hormone; pre 250 ug ACTH IM; Mass concentration; Level; Point in time; Random; SerPl; SerPlas; SerP; Serum; SR; Plasma; Pl; Plsm; Quantitative; QNT; Quant; Quan; mcg; CHEMISTRY.CHALLENGE TESTING; CHEMISTRY.CHALLENGE TESTING",""
"10333-3","Aspecto","Aper","Pt","LCR","Nom","","SPEC","Appearance CSF","","Appr; Appear; Point in time; Random; Cerebral spinal fluid; Spinal Fluid; Cerebrospinal Fl; Spinal Flu; Spinal Fld; Nominal",""
"10352-3","Identificação de bactérias","Ident","Pt","Genital","Nom","Cultura aeróbica","MICRO","Bacteria Genital Aerobe Cult","","Bact; Identity or presence; Point in time; Random; Gen; Genital tract; Urogenit; Urogenital; Nominal; Aerobe Cult; Aerobed; Cultures; C&S; Isolated; Microbiology",""
"10353-1","Identificação de bactérias","Ident","Pt","Nasal","Nom","Cultura aeróbica","MICRO","Bacteria Nose Aerobe Cult","","Bact; Identity or presence; Point in time; Random; Nos; Smell; Nasal; Nominal; Aerobe Cult; Aerobed; Cultures; C&S; Isolated; Microbiology",""
"10354-9","Identificação de bactérias","Ident","Pt","Uretra","Nom","Cultura","MICRO","Bacteria Urth Cult","","Bact; Identity or presence; Point in time; Random; Urth; Genital tract; Nominal; Cult; Cultures; C&S; Isolated; Microbiology",""
"10390-3","Preparação especial de produto sanguíneo","Tipo","Pt","^bolsa de sangue","Nom","","BLDBK","Sg Prod Special Prep BPU","","; Bld Prod Special Prep; Typ; Point in time; Random; Blood product unit; Nominal; BLOOD BANK",""
"10391-1","Imunoglobulina contra Citomegalovírus transfundido","Volume","Pt","^Paciente","Qn","","BLDBK","CMV Ig Gvn Vol","","GLB; Globulins; Glob; Glob%; Globul; CMV Ig; Cytomgal; Cytomegalo virus; Volume; Point in time; Random; Quantitative; QNT; Quant; Quan; Gvn; Imun; Imune; Imm; BLOOD BANK",""
"1039-7","G Ag","ACnc","Pt","Eritroc^bolsa de sangue","Ord","","BLDBK","G Ag RBC BPU Ql","","Arbitrary concentration; Point in time; Random; Erythrocytes; Red blood corpusles; Red blood cells; Blood product unit; Ql; Ordinal; QL; Qualitative; Qual; Screen; Antigen; Antigens; BLOOD BANK",""
"5927-9","Potássio","SCnc","Pt","LiqDial","Qn","","CHEM","Deprecated Potássio Dial fld-sCnc","","K+; Potass; K; Substance concentration; Level; Point in time; Random; Dialysis fluid; Dialysate; Diaf; Quantitative; QNT; Quant; Quan; Chemistry",""
"10525-4","Observação Microscópica","Ident","Pt","XXX","Nom","Coloração citológica","Cito","Cito XXX","","; Micro; Identity or presence; Point in time; Random; Misc; Miscellaneous; Unspecified; Other; Nominal; Pap Smear; Pap Stain; Citostain; Citology stain; Papanicolaou smear",""
"10550-2","Temazepam","MCnc","Pt","Sor/Plas","Qn","","DRUG/TOX","Deprecated Temazepam SerPl-mCnc","","Restoril; Mass concentration; Level; Point in time; Random; SerPl; SerPlas; SerP; Serum; SR; Plasma; Pl; Plsm; Quantitative; QNT; Quant; Quan; Drugs; DRUG/TOXICOLOGY; DRUG/TOXICOLOGY",""
