"LOINC_NUM","COMPONENT","PROPERTY","TIME_ASPCT","SYSTEM","SCALE_TYP","METHOD_TYP","CLASS","SHORTNAME","LONG_COMMON_NAME","RELATEDNAMES2","LinguisticVariantDisplayName"
"617-1","Бактерии","ПрИд","ТчкВрм","Плацента","Ном","Аэробная культура","MICRO","","","Номинальный;Именной Присутствие или Идентификация Точка во времени;Момент",""
"62580-6","PhenX - стоматология - потребление сладких напитков протокол","-","ТчкВрм","^Пациент","-","PhenX","PANEL.PHENX","","","Точка во времени;Момент",""
"62600-2","PhenX - стоматология - наличие флюороза зубов протокол","-","ТчкВрм","^Пациент","-","PhenX","PANEL.PHENX","","","Точка во времени;Момент",""
"95084-0","С пептид^2 часа после приёма пищи","МассКонц","ТчкВрм","Сыв/Плаз","Колич","","CHAL","","","C белок Количественный Массовая концентрация Плазма Сыворотка Сыворотка или Плазма Точка во времени;Момент",""
"95594-8","Кальцидиол","МассКонц","ТчкВрм","КрК","Колич","","CHEM","","","Количественный Кровь капиллярная Массовая концентрация Точка во времени;Момент",""
"88683-8","Бактерии","ПрИд","ТчкВрм","БАЛ","Ном","Анаэробная культура","MICRO","","","Бронхоальвеолярный лаваж Номинальный;Именной Присутствие или Идентификация Точка во времени;Момент",""
"105907-0","Бактерии","КолОб","ТчкВрм","Моча","Колич","","UA","","","Количественный Количество в объеме Точка во времени;Момент",""
"91865-6","Бактерии","ПрИд","ТчкВрм","Генитальный","Ном","Анаэробная культура","MICRO","","","Номинальный;Именной Присутствие или Идентификация Точка во времени;Момент",""
"106018-5","Бактерии","КолОб","ТчкВрм","Сперма","Колич","Культура","MICRO","","","Количественный Количество в объеме Точка во времени;Момент",""
"10332-5","Кортизол^до 250 мкг кортикотропина внутримышечно","МассКонц","ТчкВрм","Сыв/Плаз","Колич","","CHAL","","","Количественный Массовая концентрация Плазма Сыворотка Сыворотка или Плазма Точка во времени;Момент",""
"10352-3","Бактерии","ПрИд","ТчкВрм","Генитальный","Ном","Аэробная культура","MICRO","","","Номинальный;Именной Присутствие или Идентификация Точка во времени;Момент",""
"10353-1","Бактерии","ПрИд","ТчкВрм","Нос","Ном","Аэробная культура","MICRO","","","Номинальный;Именной Присутствие или Идентификация Точка во времени;Момент",""
"10354-9","Бактерии","ПрИд","ТчкВрм","Уретра","Ном","Культура","MICRO","","","Мочеиспускательный канал Номинальный;Именной Присутствие или Идентификация Точка во времени;Момент",""
"10390-3","Крови продукта специальное приготовление","Тип","ТчкВрм","^КПЕ","Ном","","BLDBK","","","Кровь препарат единица;Доза;Единица препарата крови Номинальный;Именной Точка во времени;Момент",""
"10391-1","Цитомегаловирус иммуноглобулин данный","Об","ТчкВрм","^Пациент","Колич","","BLDBK","","","Антицитомегаловирусный иммуноглобулин Количественный Объем Точка во времени;Момент",""
"1039-7","G Аг","PrThr","ТчкВрм","Эритроциты^КПЕ","Пор","","BLDBK","","","Кровь препарат единица;Доза;Единица препарата крови Порядковый Точка во времени;Момент",""
"10550-2","Темазепам","МассКонц","ТчкВрм","Сыв/Плаз","Колич","","DRUG/TOX","","","Количественный Массовая концентрация Плазма Сыворотка Сыворотка или Плазма Точка во времени;Момент",""
"1099-1","K малое p супер малое a Ат","PrThr","ТчкВрм","Сыв/Плаз","Пор","","BLDBK","","","Антитело Плазма Порядковый Сыворотка Сыворотка или Плазма Точка во времени;Момент",""
"11101-3","Бактерии","КолПлощ","ТчкВрм","Синов ждк","Колич","Микроскопия.световой.сильное увеличение","MICRO","","","Количественный Количество на площади;Количество приходящееся на площадь Световая микроскопия при увеличении 400х Синовиальная жидкость Точка во времени;Момент",""
"11261-5","Бактерии","ПрИд","ТчкВрм","Вагин","Ном","Аэробная культура","MICRO","","","Вагинальный Номинальный;Именной Присутствие или Идентификация Точка во времени;Момент",""
"11475-1","Микроорганизм","ПрИд","ТчкВрм","XXX","Ном","Культура","MICRO","","","Номинальный;Именной Присутствие или Идентификация Точка во времени;Момент",""
"12178-0","Бактерии","PrThr","ТчкВрм","Генитальный","Пор","Влажный препарат","MICRO","","","Порядковый Точка во времени;Момент",""
"12281-2","Бактерии","ПрИд","ТчкВрм","Шейка","Ном","Анаэробная культура","MICRO","","","Номинальный;Именной Присутствие или Идентификация Точка во времени;Момент",""
"12814-0","Калий","МолКонц","ТчкВрм","Стекл ждк","Колич","","CHEM","","","Количественный Молярность;Молярная объёмная концентрация Стекловидная жидкость Точка во времени;Момент",""
"13314-0","Бактерии","ПрИд","ТчкВрм","Сперма","Ном","","MICRO","","","Номинальный;Именной Присутствие или Идентификация Точка во времени;Момент",""
"13315-7","Бактерии","ПрИд","24 часа","Моча","Ном","Культура","MICRO","","","Номинальный;Именной Присутствие или Идентификация",""
"14093-9","Бактерии","ПрИд","ТчкВрм","Вода","Ном","Культура","MICRO","","","Номинальный;Именной Присутствие или Идентификация Точка во времени;Момент",""
"14124-2","Бактерии","PrThr","ТчкВрм","Сперма","Пор","Микроскопия.световой","FERT","","","Порядковый Точка во времени;Момент",""
"14172-1","Калий","МолКонц","ТчкВрм","Синов ждк","Колич","","CHEM","","","Количественный Молярность;Молярная объёмная концентрация Синовиальная жидкость Точка во времени;Момент",""
"14394-1","Азот мочевины крови","МассКонц","ТчкВрм","Плевр ждк","Колич","","CHEM","","","Количественный Массовая концентрация Плевральная жидкость Точка во времени;Момент",""
"14396-6","Азот мочевины крови","МассКонц","ТчкВрм","Синов ждк","Колич","","CHEM","","","Количественный Массовая концентрация Синовиальная жидкость Точка во времени;Момент",""
"14402-2","Креатинин","МассКонц","ТчкВрм","Желуд ждк","Колич","","CHEM","","","Желудочный сок;Желудочная жидкость Количественный Массовая концентрация Точка во времени;Момент",""
"14407-1","Фосфат","МассКонц","ТчкВрм","Желуд ждк","Колич","","CHEM","","","Желудочный сок;Желудочная жидкость Количественный Массовая концентрация Точка во времени;Момент",""
"14475-8","Бактерии","ПрИд","ТчкВрм","Шейка","Ном","Аэробная культура","MICRO","","","Номинальный;Именной Присутствие или Идентификация Точка во времени;Момент",""
"14477-4","Бактерии","ПрИд","ТчкВрм","Уретра","Ном","Аэробная культура","MICRO","","","Мочеиспускательный канал Номинальный;Именной Присутствие или Идентификация Точка во времени;Момент",""
"14478-2","Бактерии","ПрИд","ТчкВрм","Пенис","Ном","Аэробная культура","MICRO","","","Номинальный;Именной Половой член Присутствие или Идентификация Точка во времени;Момент",""
"15202-5","Калий","МолКонц","ТчкВрм","Фекалии","Колич","","CHEM","","","Количественный Молярность;Молярная объёмная концентрация Точка во времени;Момент",""
"15508-5","Роды и родоразрешение записи","Находка","-","^Пациент","Док","","DOC.MISC","","","Документ Записи о роды и родоразрешение",""
"17279-1","Бактерии","ПрИд","ТчкВрм","Плевр ждк","Ном","Аэробная культура","MICRO","","","Номинальный;Именной Плевральная жидкость Присутствие или Идентификация Точка во времени;Момент",""
"17795-6","Калий","МолКонц","ТчкВрм","Парентеральное питание раствор","Колич","","CHEM","","","Количественный Молярность;Молярная объёмная концентрация Точка во времени;Момент",""
"17898-8","Бактерии","ПрИд","ТчкВрм","Гортань","Ном","Аэробная культура","MICRO","","","Номинальный;Именной Присутствие или Идентификация Точка во времени;Момент",""
