"LOINC_NUM","COMPONENT","PROPERTY","TIME_ASPCT","SYSTEM","SCALE_TYP","METHOD_TYP","CLASS","SHORTNAME","LONG_COMMON_NAME","RELATEDNAMES2","LinguisticVariantDisplayName"
"93429-9","Blastomyces sp Ag","KütlKons","Zmlı","İdrar","Kant","İA","MICRO","","","İmmünölçüm, immünoassay",""
"93432-3","Blastomyces sp Ag","KütlKons","Zmlı","BAL","Kant","İA","MICRO","","","Bronkoalveoler lavaj İmmünölçüm, immünoassay",""
"91866-4","Bakteri","MevcKimlik","Zmlı","Ağız","Snf","Aerobik kültür","MICRO","","","",""
"91865-6","Bakteri","MevcKimlik","Zmlı","Genital","Snf","Anaerobik kültür","MICRO","","","",""
"104597-0","Glukoz","KütlKons","Zmlı","KanVen","Kant","Glukometre","CHEM","","","",""
"104684-6","1,1-Dimetoksi-(9Z)octadeken","KütlKons","Zmlı","Kan.nokta","Kant","","CHEM","","","",""
"90270-0","Bakteri","MevcKimlik","Zmlı","Safra sv","Snf","Aerobik kültür","MICRO","","","",""
"90273-4","Bakteri","MevcKimlik","Zmlı","Katruç","Snf","Anaerobik kültür","MICRO","","","",""
"90277-5","Bakteri","MevcKimlik","Zmlı","Diyal sv prt","Snf","Anaerobik kültür","MICRO","","","",""
"90279-1","Bakteri","MevcKimlik","Zmlı","Semen","Snf","Aerobik kültür","MICRO","","","",""
"90278-3","Bakteri","MevcKimlik","Zmlı","Snvy sv","Snf","Aerobik kültür","MICRO","","","",""
"90280-9","Bakteri","MevcKimlik","Zmlı","Diyal sv prt","Snf","Aerobik kültür","MICRO","","","",""
"90444-1","Dietilpropion","KütlKons","Zmlı","Ser/Plaz/Kan","Kant","Onay","DRUG/TOX","","","Teyid",""
"90271-8","Bakteri","MevcKimlik","Zmlı","Perikard sv","Snf","Aerobik kültür","MICRO","","","",""
"90324-5","Mycoplasma hyopneumoniae DNA","MevcEşik","Zmlı","XXX","Srl","Prob.amf.hdf","MICRO","","","Mevcut",""
"91063-8","Bakteri","MevcKimlik","Zmlı","Trombositler^KanÜrÜ","Snf","Aerobik kültür","MICRO","","","",""
"90274-2","Bakteri","MevcKimlik","Zmlı","Katruç","Snf","Aerobik kültür","MICRO","","","",""
"90276-7","Bakteri","MevcKimlik","Zmlı","Semen","Snf","Anaerobik kültür","MICRO","","","",""
"90281-7","Bakteri","MevcKimlik","Zmlı","Periton sv","Snf","Aerobik kültür","MICRO","","","",""
"91062-0","Bakteri","MevcKimlik","Zmlı","Trombositler^KanÜrÜ","Snf","Anaerobik kültür","MICRO","","","",""
"95084-0","C peptid^2Sa snr yemek","KütlKons","Zmlı","Ser/Plaz","Kant","","CHAL","","","",""
"94841-4","Potasyum","SubKons","Zmlı","İdrar^Fetus","Kant","","CHEM","","","",""
"95675-5","Sarı humma virüsü Ab.IgG","MevcEşik","Zmlı","XXX","Srl","İA","MICRO","","","İmmünölçüm, immünoassay Mevcut",""
"88683-8","Bakteri","MevcKimlik","Zmlı","BAL","Snf","Anaerobik kültür","MICRO","","","Bronkoalveoler lavaj",""
"99932-6","Bakteri","MevcEşik","Zmlı","Vücut sv","Srl","Otomatize","MICRO","","","Mevcut",""
"95074-1","Bakteri","MevcEşik","Zmlı","BAL","Srl","Mikroskopi.ışık","MICRO","","","Bronkoalveoler lavaj Mevcut",""
"95095-6","Glukagon^2Sa snr yemek","KütlKons","Zmlı","Ser/Plaz","Kant","","CHAL","","","",""
"10332-5","Kortizol^önc 250 ug IM kortikotropin","KütlKons","Zmlı","Ser/Plaz","Kant","","CHAL","","","",""
"10352-3","Bakteri","MevcKimlik","Zmlı","Genital","Snf","Aerobik kültür","MICRO","","","",""
"10353-1","Bakteri","MevcKimlik","Zmlı","Burun","Snf","Aerobik kültür","MICRO","","","",""
"10354-9","Bakteri","MevcKimlik","Zmlı","Üretra","Snf","Kültür","MICRO","","","",""
"10390-3","Kan ürünü özel hazırlanmış","Tip","Zmlı","^KanÜrÜ","Snf","","BLDBK","","","Tür",""
"10391-1","Cytomegalovirus immun globulin belirlenmiş","Hcm","Zmlı","^Hasta","Kant","","BLDBK","","","",""
"1039-7","G Ag","MevcEşik","Zmlı","Eritrosit^KanÜrÜ","Srl","","BLDBK","","","Mevcut RBC",""
"10550-2","Temazepam","KütlKons","Zmlı","Ser/Plaz","Kant","","DRUG/TOX","","","",""
"1099-1","K küçük p süper küçük a Ab","MevcEşik","Zmlı","Ser/Plaz","Srl","","BLDBK","","","Mevcut",""
"11101-3","Bakteri","SayAlanda","Zmlı","Snvy sv","Kant","Mikroskopi.ışık.HPF","MICRO","","","Birim alandaki sayı",""
"11261-5","Bakteri","MevcKimlik","Zmlı","Vaj","Snf","Aerobik kültür","MICRO","","","",""
"11475-1","Mikroorganizma","MevcKimlik","Zmlı","XXX","Snf","Kültür","MICRO","","","",""
"12178-0","Bakteri","MevcEşik","Zmlı","Genital","Srl","Islak preparat","MICRO","","","Mevcut",""
"12281-2","Bakteri","MevcKimlik","Zmlı","Cvx","Snf","Anaerobik kültür","MICRO","","","",""
"12814-0","Potasyum","SubKons","Zmlı","Vitr sv","Kant","","CHEM","","","",""
"13314-0","Bakteri","MevcKimlik","Zmlı","Semen","Snf","","MICRO","","","",""
"13315-7","Bakteri","MevcKimlik","24Sa","İdrar","Snf","Kültür","MICRO","","","",""
"14093-9","Bakteri","MevcKimlik","Zmlı","Su","Snf","Kültür","MICRO","","","",""
"14124-2","Bakteri","MevcEşik","Zmlı","Semen","Srl","Mikroskopi.ışık","FERT","","","Mevcut",""
"14172-1","Potasyum","SubKons","Zmlı","Snvy sv","Kant","","CHEM","","","",""
"14325-5","Bakteri","MevcKimlik","Zmlı","XXX","Snf","Çevresel kültür","MICRO","","","",""
"14394-1","Üre azotu","KütlKons","Zmlı","Plvr sv","Kant","","CHEM","","","Nitrojen",""
"14396-6","Üre azotu","KütlKons","Zmlı","Snvy sv","Kant","","CHEM","","","Nitrojen",""
"14402-2","Kreatinin","KütlKons","Zmlı","Gast sv","Kant","","CHEM","","","",""
"14407-1","Fosfat","KütlKons","Zmlı","Gast sv","Kant","","CHEM","","","",""
"14475-8","Bakteri","MevcKimlik","Zmlı","Cvx","Snf","Aerobik kültür","MICRO","","","",""
"14477-4","Bakteri","MevcKimlik","Zmlı","Üretra","Snf","Aerobik kültür","MICRO","","","",""
"14478-2","Bakteri","MevcKimlik","Zmlı","Penis","Snf","Aerobik kültür","MICRO","","","",""
"15202-5","Potasyum","SubKons","Zmlı","Dışkı","Kant","","CHEM","","","Gaita; feçes",""
"17279-1","Bakteri","MevcKimlik","Zmlı","Plvr sv","Snf","Aerobik kültür","MICRO","","","",""
"17795-6","Potasyum","SubKons","Zmlı","Hiperal solution","Kant","","CHEM","","","",""
"17898-8","Bakteri","MevcKimlik","Zmlı","Bğz","Snf","Aerobik kültür","MICRO","","","",""
"17909-3","Bakteri","MevcKimlik","Zmlı","Yara.derin","Snf","Aerobik kültür","MICRO","","","",""
"17915-0","Bakteri","MevcKimlik","Zmlı","Wound.shlw","Snf","Aerobik kültür","MICRO","","","",""
"17925-9","Bakteri","MevcKimlik","Zmlı","Yara.derin","Snf","Anaerobik kültür","MICRO","","","",""
"17928-3","Bakteri","MevcKimlik","Zmlı","Kan","Snf","Aerobik kültür","MICRO","","","",""
"17934-1","Bakteri","MevcKimlik","Zmlı","Kan","Snf","Anaerobik kültür","MICRO","","","",""
"17956-4","Bakteri","MevcKimlik","Zmlı","Vücut sv","Snf","Anaerobik kültür","MICRO","","","",""
"17969-7","Bakteri","MevcKimlik","Zmlı","İdrar","Snf","Aerobik kültür","MICRO","","","",""
"18192-5","Bakteri","MevcEşik","Zmlı","Burun","Srl","Mikroskopi.ışık","MICRO","","","Mevcut",""
"18372-3","Potasyum","SubHz","6Sa","İdrar","Kant","","CHEM","","","",""
"19096-7","Elektrolitler","İzlnm","24Sa","İdrar","Öykü","","CHEM","","","",""
"19126-2","Bakteri","MevcKimlik","Zmlı","Kem il","Snf","Aerobik kültür","MICRO","","","",""
"19127-0","Bakteri","MevcKimlik","Zmlı","Balgam","Snf","Akut respiratuvar yetmezlik kültürü","MICRO","","","",""
"19128-8","Bakteri","MevcKimlik","Zmlı","Katruç","Snf","Kültür","MICRO","","","",""
"20474-3","Bakteri","MevcKimlik","Zmlı","Doku","Snf","Biyopsi kültürü","MICRO","","","",""
"20693-8","Bakteri","MevcKimlik","Zmlı","Çöp","Snf","Aerobik kültür","MICRO","","","",""
"20694-6","Bakteri","MevcKimlik","Zmlı","^embriyo","Snf","Aerobik kültür","MICRO","","","",""
"20695-3","Bakteri","SayKons","Zmlı","AnneSüt","Kant","","MICRO","","","",""
"20877-7","Bakteri","MevcKimlik","Zmlı","İzolat","Snf","Hayvan inokülasyonu","MICRO","","","Hayvan inokülasyonu",""
"20878-5","Bakteri","MevcKimlik","Zmlı","İzolat","Snf","Anaerobik kültür","MICRO","","","",""
"20879-3","Bakteri","MevcKimlik","Zmlı","Süt","Snf","Aerobik kültür","MICRO","","","",""
"21020-3","Bakteri","MevcKimlik","Zmlı","XXX","Snf","Anaerobik+Aerobik kültür","MICRO","","","",""
"21476-7","Potasyum","SubKons","24Sa","İdrar","Kant","","CHEM","","","",""
"22760-3","Potasyum","KütlKons","Zmlı","Ser/Plaz","Kant","","CHEM","","","",""
"23667-9","Bakteri","MevcKimlik","Zmlı","XXX","Snf","","MICRO","","","",""
"25145-4","Bakteri","MevcEşik","Zmlı","İdrar sed","Srl","Mikroskopi.ışık","UA","","","Mevcut",""
"25506-7","Potasyum","Subİçrk","Zmlı","Dışkı","Kant","","CHEM","","","Gaita; feçes",""
"27441-5","Potasyum","Subİçrk","24Sa","Dışkı","Kant","","CHEM","","","Gaita; feçes",""
"2819-1","Potasyum","SubKons","Zmlı","BOS","Kant","","CHEM","","","",""
"2820-9","Potasyum","SubKons","Zmlı","Diyal sv","Kant","","CHEM","","","",""
"2821-7","Potasyum","SubKons","Zmlı","Vücut sv","Kant","","CHEM","","","",""
"2822-5","Potasyum","SubKons","Zmlı","Gast sv","Kant","","CHEM","","","",""
"2823-3","Potasyum","SubKons","Zmlı","Ser/Plaz","Kant","","CHEM","","","",""
"2824-1","Potasyum","SubKons","Zmlı","Eritrosit","Kant","","CHEM","","","RBC",""
"2825-8","Potasyum","SubKons","Zmlı","Tükürük","Kant","","CHEM","","","",""
"2826-6","Potasyum","SubHz","72Sa","Dışkı","Kant","","CHEM","","","Gaita; feçes",""
"2827-4","Potasyum","SubKons","Zmlı","Ter","Kant","","CHEM","","","",""
"2828-2","Potasyum","SubKons","Zmlı","İdrar","Kant","","CHEM","","","",""
"2829-0","Potasyum","SubHz","24Sa","İdrar","Kant","","CHEM","","","",""
"2830-8","Potasyum renal klirens","HcmOran","24Sa","İdrar+Ser/Plaz","Kant","","CHEM","","","",""
"30549-0","Potasyum","SubKons","Zmlı","TPN","Kant","","CHEM","","","Total parenteral beslenme",""
"3105-4","Ürobilinojen","MevcEşik","Zmlı","Dışkı","Srl","","CHEM","","","Gaita; feçes Mevcut",""
"31157-1","Karboksihemoglobin","KütlKons","Zmlı","Kan","Kant","","CHEM","","","",""
"31219-9","Afipia felis Ab.IgM","SçKons","Zmlı","Ser","Kant","","MICRO","","","",""
"31750-3","Bovine iç kulak Ag","MevcEşik","Zmlı","Ser/Plaz","Srl","","SERO","","","Mevcut",""
"32336-0","Potasyum","SubKons","Zmlı","XXX","Kant","","CHEM","","","",""
"32355-0","Bakteri","MevcKimlik","Zmlı","XXX","Snf","Solunum sistemi kültürü","MICRO","","","",""
"32367-5","Bakteri","MevcKimlik","Zmlı","İzolat","Snf","Aerobik kültür","MICRO","","","",""
"32550-6","Potasyum","Sub","XXX","İdrar","Kant","","CHEM","","","",""
"32713-0","Potasyum","SubKons","Zmlı","KanArt","Kant","","CHEM","","","",""
"32763-5","Bakteri","MevcEşik","Zmlı","XXX","Srl","Islak preparat","MICRO","","","Mevcut",""
"32810-4","Bakteri","MevcKimlik","Zmlı","Bronşiyal","Snf","","MICRO","","","",""
"33218-9","Bakteri","SayAlanda","Zmlı","İdrar sed","Kant","Otomatize sayım","UA","","","Birim alandaki sayı",""
"34703-9","Hepatit C virüsü RNA","SçKons","Zmlı","Ser/Plaz","Kant","Porb.amf.hdf saptama sınırı = 500 IU/mL","MICRO","","","",""
"35677-4","Potasyum","SubKons","XXX","İdrar","Kant","","CHEM","","","",""
"36921-5","Herpes simplex virüsü 1+2 Ab.IgG","MevcEşik","Zmlı","Ser","Srl","","MICRO","","","Mevcut",""
"38292-9","1,1-Dikloroetilen","KütlKons","Zmlı","Su","Kant","","DRUG/TOX","","","",""
"39785-1","Potasyum","SubKons","Zmlı","Diyal sv prt","Kant","","CHEM","","","",""
