"LOINC_NUM","COMPONENT","PROPERTY","TIME_ASPCT","SYSTEM","SCALE_TYP","METHOD_TYP","CLASS","SHORTNAME","LONG_COMMON_NAME","RELATEDNAMES2","LinguisticVariantDisplayName"
"34703-9","Вірус Гепатиту С РНК","Довільна Концентрація","МоментЧасу","Сироватка/Плазма","Кількісно","Зонд-детекція. цільова аміпліфікація НК межа визначення = 500 МО/мл","Мікробіологія","Вірус Гепатиту С РНК ДовКонц Свтк/Плаз Зонд-детек. ціль ампліф НК меж визн = 500 МО/мл","Вірус Гепатиту С РНК [Довільна Концентрація] у Сироватці/Плазмі методом Зонд-детекції.цільової аміпліфікації НК межа визначення = 500 МО/мл","3 Self-Sustaining Sequence Replication; 3SR SR; Amplif; Amplification; Amplified; Arbitrary concentration; DNA NUCLEIC ACID PROBE; DNA probe; HCV; Hep; Hep C; Hepatis; Hepatit; Hepatology; ID; Infectious Disease; InfectiousDisease; LAT; LCR; Ligase chain reaction; Ligation-activated transcription; Liver; Microbiology; NAA DL=500; NAA+probe; NAAT; NASBA; Nucleic acid sequence based analysis; PCR; Pl; Plasma; Plsm; Point in time; Polymerase chain reaction; Probe amp; Probe with ampification; Probe with target amplification; QBR; QNT; Quan; Quant; Quantitative; Random; Ribonucleic acid; SDA; SerP; SerPl; SerPlas; Serum; Serum or plasma; SR; Strand Displacement Amplification; TMA; Transcription mediated amplification; Viral load","Вірус Гепатиту С РНК Зонд-детек. ціль ампліф НК межа визначення = 500 МО/мл (Свтк/Плаз) [ДовКонц]"
"36921-5","Вірус простого герпесу 1+2 Антитіла.IgG","Наявність або Поріг","МоментЧасу","Сироватка","Порядково","","Мікробіологія","Вірус простого герпесу 1+2 Антитіла.IgG НвнПор Свтк","Вірус простого герпесу 1+2 Антитіла.IgG [Наявність або Поріг] у Сироватці","ABS; Aby; Antby; Anti; Antibodies; Antibody; Autoantibodies; Autoantibody; Herp splx; Herpes simplex virus type 1; Herpes simplex virus type 1+2; Herpes simplex virus type I+II; HSV; HSV 1+2; HSV1; HSV1+2; i; ID; II; Immune globulin G; Immunoglobulin G; Infectious Disease; InfectiousDisease; Microbiology; Ordinal; Point in time; PR; QL; Qual; Qualitative; Random; Screen; Serum; SR","Вірус простого герпесу 1+2 Антитіла.IgG (Свтк) [НвнПор]"
"2823-3","Калій","Молярна Концентрація","МоментЧасу","Сироватка/Плазма","Кількісно","","Хімія","Калій СирПл-МолКонц","Калій [Молі/об'єм] в сироватці чи плазмі","Chemistry; k; K+; Level; Pl; Plasma; Plsm; Point in time; Potass; QNT; Quan; Quant; Quantitative; Random; SerP; SerPl; SerPlas; Serum; Serum or plasma; SR; Substance concentration; UniversalLabOrders","Калій [Молі/об'єм]"
"25145-4","Бактерії","Наявність або Поріг","МоментЧасу","Осад Сечі","Порядково","Мікроскопія. світлова","Аналіз Сечі","Бактерії СечОсд Якісн Мікро","Бактерії [Наявність] в осаді Сечі методом Світлової Мікроскопії","Bact; ID; Infectious Disease; InfectiousDisease; Kidney; LM; Micro; Micros; Microscopic; Nephrology; Ordinal; Point in time; PR; QL; Qual; Qualitative; Random; Renal; Screen; UA; UR; URINALYSIS; Urine sediment; Urn; UrnS","Бактерії СМ Якісно (осад Сечі)"
"2828-2","Калій","Молярна Концентрація","МоментЧасу","Сеча","Кількісно","","Хімія","Калій Сеч-МолКонц","Калій [Молі/об'єм] в сечі","Chemistry; k; K+; Level; Point in time; Potass; QNT; Quan; Quant; Quantitative; Random; Substance concentration; UA; UniversalLabOrders; UR; Urn","Калій (Сеч) [Молі/об'єм]"
"5769-5","Бактерії","Кількість на поле","МоментЧасу","Осад Сечі","Кількісно","Мікроскопія. мале збільшення поля зору (100х)","Аналіз Сечі","Бактерії #/поле СечОсд 400х","Бактерії [кількість/поле] в осаді Сечі Мікроскопія при великому збільшенні поля зору (400х)","#/area; Bact; ID; Infectious Disease; InfectiousDisease; Kidney; LM; Micro; Micros; Microscopic; Nephrology; Number areic; Point in time; QNT; Quan; Quant; Quantitative; Random; Renal; UA; UR; URINALYSIS; Urine sediment; Urn; UrnS","Бактерії СМ. велике збільшення 400х (осад Сечі) [#/поле]"
"6298-4","Калій","Молярна Концентрація","МоментЧасу","Кров","Кількісно","","Хімія","Калій Крв-МолКонц","Калій [Молі/об'єм] в крові","Blood; Chemistry; k; K+; Level; Point in time; Potass; QNT; Quan; Quant; Quantitative; Random; Substance concentration; UniversalLabOrders; WB; Whole blood","Калій (Крв) [Молі/об'єм]"
"10333-3","Зовнішній вигляд","Вигляд","МоментЧасу","Спинномозкова рідина","Категорійно","","Інформація про зразок","Зовнішній Вигл СМР","Зовнішній вигляд спинномозкової рідини","Appear; Appearance; Appr; Cerebral spinal fluid; Cerebrospinal Fl; Nominal; Point in time; Random; SPEC; Spinal Fl; Spinal Fld; Spinal Flu; Spinal Fluid","Зовнішній вигляд (СМР)"
"14093-9","Ідентифіковані бактерії","Наявність або Ідентифікація","МоментЧасу","Вода","Категорійно","Культура","Мікробіологія","Бактерії Вода Культ","Ідентифіковані бактерії у Воді методом Культури","Bact; C&S; Cult; Cultures; ID; Identity or presence; Infectious Disease; InfectiousDisease; Isolated; Microbiology; Nominal; Point in time; Random; Wat","Ідентифіковані бактерії Культ Кат (Вода)"
"15202-5","Калій","Молярна Концентрація","МоментЧасу","Кал","Кількісно","","Хімія","Калій Кал-МолКнц","Калій [Молі/об'єм] у калі","Bowel movement; Chemistry; Faecal; Faeces; Fecal; Feces; Gastro; Gastroenterology; GI; k; K+; Level; Point in time; Potass; QNT; Quan; Quant; Quantitative; Random; Stl; Stool = Fecal; Substance Concentration","Калій (Кал) [Молі/об'єм]"
"19126-2","Ідентифіковані бактерії","Наявність або Ідентифікація","МоментЧасу","Кістковий мозок","Категорійно","Аеробна культура","Мікробіологія","Бактерії Мозок АеробКульт","Ідентифіковані бактерії у Кістковому мозку методом Аеробної культури","Aerobe; Aerobe Cult; Aerobed; Bact; BM; BON; Bone marrow; C&S; Cult; Cultures; ID; Identity or presence; Infectious Disease; InfectiousDisease; Isolated; MAR; Marrow (bone); Microbiology; minimal angle of resolution; Minimum angle of resolution; Nominal; Point in time; Random; UniversalLabOrders","Ідентифіковані бактерії АеробКульт Кат (КМ)"
"19128-8","Ідентифіковані бактерії","Наявність або Ідентифікація","МоментЧасу","Наконечник катетера","Категорійно","Культура","Мікробіологія","Бактерії НакКат Культ","Ідентифіковані бактерії у Наконечнику катетера методом Культури","Bact; C&S; Cath Tip; Catheter tip; Cult; Cultures; ID; Identity or presence; Infectious Disease; InfectiousDisease; Isolated; Microbiology; Nominal; Point in time; Random; UniversalLabOrders","Ідентифіковані бактерії Культ Кат (НакКат)"
"20474-3","Ідентифіковані бактерії","Наявність або Ідентифікація","МоментЧасу","Тканина","Категорійно","Посів біопсії","Мікробіологія","Бактерії Тк ПосівБіоп","Ідентифіковані бактерії у тканині методом Посіву біопсії","Bact; Bx; Bx Cult; C&S; Cult; Cultures; ID; Identity or presence; Infectious Disease; InfectiousDisease; Isolated; Microbiology; Nominal; Point in time; Random; Tissue; Tissue, unspecified; UniversalLabOrders","Ідентифіковані бактерії ПосівБіоп Кат (Тк)"
