"LOINC_NUM","COMPONENT","PROPERTY","TIME_ASPCT","SYSTEM","SCALE_TYP","METHOD_TYP","CLASS","SHORTNAME","LONG_COMMON_NAME","RELATEDNAMES2","LinguisticVariantDisplayName"
"11702-8","血流速度.收缩期.最大值","速度","时间点","大脑中动脉","定量型","超声.多普勒","产科学检查与测量指标.超声","","","Cereb 产科 产科.超声;产科.超声.印象与测量指标;产科学.超声;产科学.超声.印象与测量指标;产科学检查与测量指标.超声.印象与测量指标;产科学超声印象与测量指标 产科学 动态 可用数量表示的;定量性;数值型;数量型;连续数值型标尺 大脑（Cerebral） 心脏超声.多普勒 时刻;随机;随意;瞬间 最大;极大值 术语""cerebral""指的是主要由中枢半球（大脑皮质和基底神经节）组成的那部分脑结构 流 流量;流速;流体 血;全血 血流（血流量、血液流量）速度（速率）.收缩期（心脏收缩期、心缩期）.最大值（极大值、极大、最大、最高值、最高、峰值、高峰） 血流量;血液流量 超声检查方法;超声检查法;超声波;超声波检查方法;超声波检查法 速度(距离/时间);速率;速率(距离/时间)",""
"11704-4","血流速度.收缩期.最大值","速度","时间点","动脉导管","定量型","超声.多普勒","产科学检查与测量指标.超声","","","产科 产科.超声;产科.超声.印象与测量指标;产科学.超声;产科学.超声.印象与测量指标;产科学检查与测量指标.超声.印象与测量指标;产科学超声印象与测量指标 产科学 动态 动脉管 可用数量表示的;定量性;数值型;数量型;连续数值型标尺 心脏超声.多普勒 时刻;随机;随意;瞬间 最大;极大值 流 流量;流速;流体 血;全血 血流（血流量、血液流量）速度（速率）.收缩期（心脏收缩期、心缩期）.最大值（极大值、极大、最大、最高值、最高、峰值、高峰） 血流量;血液流量 超声检查方法;超声检查法;超声波;超声波检查方法;超声波检查法 速度(距离/时间);速率;速率(距离/时间)",""
"91866-4","细菌","存在与否或特征标识","时间点","口","名义型","需氧微生物培养","微生物学试验类","","","分类型应答;分类型结果;名义性;名称型;名词型;名词性;标称性;没有自然次序的名义型或分类型应答 嘴 培养方法 好氧微生物培养;需气培养;需氧培养;需氧菌培养 存在;存在与否;特征标识;身份;身份标识 微生物学;微生物学试验;微生物学试验（培养、DNA、抗原及抗体） 时刻;随机;随意;瞬间 细菌类;菌",""
"91865-6","细菌","存在与否或特征标识","时间点","生殖器","名义型","厌氧微生物培养","微生物学试验类","","","分类型应答;分类型结果;名义性;名称型;名词型;名词性;标称性;没有自然次序的名义型或分类型应答 厌氧生物培养;厌氧菌培养;嫌气微生物培养;嫌气细菌培养 培养方法 外生殖器;尿生殖;泌尿和生殖系统;泌尿生殖;泌尿生殖器;生殖器(多用于指男性的外生殖器);生殖器官;生殖道;男生殖器 存在;存在与否;特征标识;身份;身份标识 微生物学;微生物学试验;微生物学试验（培养、DNA、抗原及抗体） 时刻;随机;随意;瞬间 细菌类;菌",""
"91062-0","细菌","存在与否或特征标识","时间点","血小板^血液制品单位","名义型","厌氧微生物培养","微生物学试验类","","","BPU;血液制品单位（Blood product unit，BPU）;血液制品单位（包装）;血液包装单位;超系统 - 血液制品单位 凝血细胞;血栓细胞;血小板类 分类型应答;分类型结果;名义性;名称型;名词型;名词性;标称性;没有自然次序的名义型或分类型应答 厌氧生物培养;厌氧菌培养;嫌气微生物培养;嫌气细菌培养 培养方法 存在;存在与否;特征标识;身份;身份标识 微生物学;微生物学试验;微生物学试验（培养、DNA、抗原及抗体） 时刻;随机;随意;瞬间 细菌类;菌",""
"87856-1","多层^采用静脉注射对比剂","发现","时间点","头部+颈部>大脑动脉环+颈动脉类","文档型","CT.血管造影术","放射医学检查","","","(多层（多平面、多切面、多断面、多截面、多剖面、多排） CAT 扫描;CT 扫描;计算机X射线轴向分层造影扫描;计算机X线体层照相术;计算机X线计算机断层摄影术;计算机X线计算机断层照相术;计算机层析X射线成象法;计算机层析X射线摄影术;计算机层析X射线摄影法;计算机层析X射线照相术;计算机层析X射线照相法;计算机层析成象;计算机层析成象术;计算机断层;计算机断层x射线照相法;计算机断层分析;计算机断层成像;计算机断层扫描;计算机断层扫描检查;计算机断层撮影法;计算机断层显像;计算机段层摄影;计算机段层照相术 CT（计算机断层扫描）.血管造影;CT血管造影术;CT血管造影照片;CT血管造影片;血管造影术;血管造影照片;血管造影片 Willis动脉环;Willis环;威利斯环 临床文档型;临床文档;文档;文书;医疗文书;临床医疗文书 动脉血管造影 动脉血管造影术 动脉血管造影照片 动脉造影 动脉造影术 动脉造影照片 发现是一个原子型临床观察指标，并不是作为印象的概括陈述。体格检查、病史、系统检查及其他此类观察指标的属性均为发现。它们的标尺对于编码型发现可能是名义型，而对于叙述型文本之中所报告的发现，则可能是叙述型。;发现物;所见;结果;结论 增强剂 多层（多平面、多切面、多断面、多截面、多剖面、多排）;多排 大脑;头;头壳;头的;头盖;头盖的;头盖骨;头部的;头颅;头颅内;头颅内的;头骨;脑;脑壳;脑的;颅;颅侧;颅的;颅骨;颅骨内;颅骨内的 头部 &amp; 颈部;头部与颈部 头部+颈部&gt;大脑动脉环（动脉环、威利斯环、威利氏环、威利环） 头部+颈部&gt;大脑动脉环（动脉环、威利斯环、威利氏环、威利环）+颈动脉类（颈动脉） 对比剂动脉血管造影 对比剂动脉血管造影术 对比剂动脉造影 对比剂动脉造影术 对比剂多动脉血管造影 对比剂多动脉血管造影术 对比剂多动脉造影 对比剂多动脉造影术 对比增强剂 成像;放射医学;放射学;显像 时刻;随机;随意;瞬间 采用增强剂;采用对比增强剂 采用对比剂 IV;采用静脉内注射对比剂 采用对比剂 多动脉 血管造影 颈",""
"88142-5","细菌","存在与否或特征标识","时间点","角膜/结膜","名义型","需氧微生物培养","微生物学试验类","","","分类型应答;分类型结果;名义性;名称型;名词型;名词性;标称性;没有自然次序的名义型或分类型应答 培养方法 好氧微生物培养;需气培养;需氧培养;需氧菌培养 存在;存在与否;特征标识;身份;身份标识 微生物学;微生物学试验;微生物学试验（培养、DNA、抗原及抗体） 时刻;随机;随意;瞬间 眼角膜 睛衣;眼球结膜;眼结膜 细菌类;菌 角膜/结膜（睛衣、眼球结膜、眼结膜）",""
"89248-9","微生物","存在与否或特征标识","时间点","指示病例^事件","名义型","","公共卫生","","","事件类体系 公共健康;公众健康;大众健康 分类型应答;分类型结果;名义性;名称型;名词型;名词性;标称性;没有自然次序的名义型或分类型应答 存在;存在与否;特征标识;身份;身份标识 时刻;随机;随意;瞬间 索引病例;首发病例",""
"79425-5","细菌","存在与否或特征标识","时间点","呼吸系统标本.下","名义型","囊性纤维变性呼吸系统标本培养","微生物学试验类","","","Null 下 下的 下部 低级 低级的 供检查用的材料;待检物;待试验物;样品;样本;试料;试样 分类型应答;分类型结果;名义性;名称型;名词型;名词性;标称性;没有自然次序的名义型或分类型应答 受检物 呼吸系统（呼吸道）标本.下;下呼吸系统标本;下呼吸道标本 呼吸道标本（样品、样本）;呼吸系统标本（样品、样本） 囊性纤维变性呼吸道标本培养;囊肿性纤维化呼吸系统标本培养;囊肿性纤维化呼吸道标本培养 培养方法 存在;存在与否;特征标识;身份;身份标识 微生物学;微生物学试验;微生物学试验（培养、DNA、抗原及抗体） 时刻;随机;随意;瞬间 样品 样本 细菌类;菌 试样 较低 较低的",""
"105907-0","细菌","计数型浓度","时间点","尿液","定量型","","尿液分析类","","","单位体积内的数量或计数;数量型浓度(单位体积);数量或计数型浓度(计数/体积);数量或计数型浓度(单位体积);计数型浓度(单位体积) 可用数量表示的;定量性;数值型;数量型;连续数值型标尺 尿;小便;下泉 尿液分析;尿液分析检测;尿液分析检测类;尿液分析检验;尿液分析检验类;尿液分析检验项目类;尿液分析测试;尿液分析测试类 时刻;随机;随意;瞬间 细菌类;菌",""
