"LoincNumber","LongCommonName","PartNumber","PartName","PartCodeSystem","PartTypeName","LinkTypeName","Property"
"100007-4","Demonstrates knowledge of pain management","LP430726-2","Demonstrates knowledge of pain management","http://loinc.org","COMPONENT","Primary","http://loinc.org/property/COMPONENT"
"100007-4","Demonstrates knowledge of pain management","LP6813-2","Find","http://loinc.org","PROPERTY","Primary","http://loinc.org/property/PROPERTY"
"100007-4","Demonstrates knowledge of pain management","LP6960-1","Pt","http://loinc.org","TIME","Primary","http://loinc.org/property/TIME_ASPCT"
"100007-4","Demonstrates knowledge of pain management","LP310005-6","^Patient","http://loinc.org","SYSTEM","Primary","http://loinc.org/property/SYSTEM"
"100007-4","Demonstrates knowledge of pain management","LP7751-3","Ord","http://loinc.org","SCALE","Primary","http://loinc.org/property/SCALE_TYP"
"100008-2","Demonstrates knowledge of wound management","LP430727-0","Demonstrates knowledge of wound management","http://loinc.org","COMPONENT","Primary","http://loinc.org/property/COMPONENT"
"100008-2","Demonstrates knowledge of wound management","LP6813-2","Find","http://loinc.org","PROPERTY","Primary","http://loinc.org/property/PROPERTY"
"100008-2","Demonstrates knowledge of wound management","LP6960-1","Pt","http://loinc.org","TIME","Primary","http://loinc.org/property/TIME_ASPCT"
"100008-2","Demonstrates knowledge of wound management","LP310005-6","^Patient","http://loinc.org","SYSTEM","Primary","http://loinc.org/property/SYSTEM"
"100008-2","Demonstrates knowledge of wound management","LP7751-3","Ord","http://loinc.org","SCALE","Primary","http://loinc.org/property/SCALE_TYP"
"100041-3","Aminoglycoside [Susceptibility]","LP267482-0","Aminoglycoside","http://loinc.org","COMPONENT","Primary","http://loinc.org/property/COMPONENT"
"100041-3","Aminoglycoside [Susceptibility]","LP6870-2","Susc","http://loinc.org","PROPERTY","Primary","http://loinc.org/property/PROPERTY"
"100041-3","Aminoglycoside [Susceptibility]","LP6960-1","Pt","http://loinc.org","TIME","Primary","http://loinc.org/property/TIME_ASPCT"
"100041-3","Aminoglycoside [Susceptibility]","LP7370-2","Isolate","http://loinc.org","SYSTEM","Primary","http://loinc.org/property/SYSTEM"
"100041-3","Aminoglycoside [Susceptibility]","LP7752-1","OrdQn","http://loinc.org","SCALE","Primary","http://loinc.org/property/SCALE_TYP"
"100865-5","Avian schistosomes DNA [Presence] in Specimen by NAA with probe detection","LP431524-0","Avian schistosomes DNA","http://loinc.org","COMPONENT","Primary","http://loinc.org/property/COMPONENT"
"100865-5","Avian schistosomes DNA [Presence] in Specimen by NAA with probe detection","LP217195-9","PrThr","http://loinc.org","PROPERTY","Primary","http://loinc.org/property/PROPERTY"
