"PartNumber","PartTypeName","PartName","PartDisplayName","Status"
"LP190769-2","ADJUSTMENT","adjusted for lean body mass+urine creatinine","adjusted for lean body mass+urine creatinine","ACTIVE"
"LP20174-6","ADJUSTMENT","adjusted","adjusted","ACTIVE"
"LP20187-8","ADJUSTMENT","unadjusted","unadjusted","ACTIVE"
"LP29693-6","CLASS","Lab","Laboratory","ACTIVE"
"LP343406-7","CLASS","Microbiology and Antimicrobial susceptibility","Microbiology and Antimicrobial susceptibility","ACTIVE"
"LP343631-0","CLASS","Chemistry and Chemistry challenge","Chemistry and Chemistry - challenge","ACTIVE"
"LP7786-9","CLASS","CHEM","Chemistry - non-challenge","ACTIVE"
"LP7819-8","CLASS","MICRO","Microbiology","ACTIVE"
"LP111881-1","COMPONENT","PhenX - oral health - consumption of sweet beverages protocol 080201","PhenX - oral health - consumption of sweet beverages protocol 080201","ACTIVE"
"LP111901-7","COMPONENT","PhenX - oral health - presence of dental fluorosis protocol 081201","PhenX - oral health - presence of dental fluorosis protocol 081201","ACTIVE"
"LP14082-9","COMPONENT","Bacteria","Bacteria","ACTIVE"
"LP14355-9","COMPONENT","Creatinine","Creatinine","ACTIVE"
"LP14492-0","COMPONENT","Urea nitrogen","Urea nitrogen","ACTIVE"
"LP14551-3","COMPONENT","Temazepam","Temazepam","ACTIVE"
"LP14559-6","COMPONENT","Microorganism","Microorganism","ACTIVE"
"LP14583-6","COMPONENT","Blood product special preparation","Blood product special preparation","ACTIVE"
"LP14635-4","COMPONENT","Glucose","Glucose","ACTIVE"
"LP147650-8","COMPONENT","Blatta orientalis Ab.IgE","Oriental Cockroach (Blatta orientalis) IgE","ACTIVE"
"LP14912-7","COMPONENT","Phosphate","Phosphate","ACTIVE"
"LP15098-4","COMPONENT","Potassium","Potassium","ACTIVE"
"LP15455-6","COMPONENT","Calcidiol","25-hydroxyvitamin D3","ACTIVE"
"LP15942-3","COMPONENT","Urobilinogen","Urobilinogen","ACTIVE"
"LP174078-8","COMPONENT","Potassium renal clearance","Potassium renal clearance","ACTIVE"
"LP182321-2","COMPONENT","1,1-Dimethoxy-(9Z)octadecene","1,1-Dimethoxy-(9Z)octadecene (DMA 18:1)","ACTIVE"
"LP19403-2","COMPONENT","Electrolytes","Electrolytes - single valence","ACTIVE"
"LP19505-4","COMPONENT","Diethylpropion","Diethylpropion","ACTIVE"
"LP200570-2","COMPONENT","Mycoplasma hyopneumoniae DNA","Mycoplasma hyopneumoniae DNA","ACTIVE"
"LP21418-6","COMPONENT","Carboxyhemoglobin","Carboxyhemoglobin","ACTIVE"
