"LOINC_NUM","COMPONENT","PROPERTY","TIME_ASPCT","SYSTEM","SCALE_TYP","METHOD_TYP","CLASS","VersionLastChanged","CHNG_TYPE","DefinitionDescription","STATUS","CONSUMER_NAME","CLASSTYPE","FORMULA","EXMPL_ANSWERS","SURVEY_QUEST_TEXT","SURVEY_QUEST_SRC","UNITSREQUIRED","RELATEDNAMES2","SHORTNAME","ORDER_OBS","HL7_FIELD_SUBFIELD_ID","EXTERNAL_COPYRIGHT_NOTICE","EXAMPLE_UNITS","LONG_COMMON_NAME","EXAMPLE_UCUM_UNITS","STATUS_REASON","STATUS_TEXT","CHANGE_REASON_PUBLIC","COMMON_TEST_RANK","COMMON_ORDER_RANK","HL7_ATTACHMENT_STRUCTURE","EXTERNAL_COPYRIGHT_LINK","PanelType","AskAtOrderEntry","AssociatedObservations","VersionFirstReleased","ValidHL7AttachmentRequest","DisplayName"
"100007-4","Demonstrates knowledge of pain management","Find","Pt","^Patient","Ord","","SURVEY.PNDS","2.72","ADD","","ACTIVE","","4","","","","","N","Finding; Findings; Ordinal; Point in time; QL; Qual; Qualitative; Random; Screen; Survey; SURVEY.PNDS","","Observation","","","","Demonstrates knowledge of pain management","","","","","0","0","","","","","","2.72","",""
"100008-2","Demonstrates knowledge of wound management","Find","Pt","^Patient","Ord","","SURVEY.PNDS","2.72","ADD","","ACTIVE","","4","","","","","N","Finding; Findings; Ordinal; Point in time; QL; Qual; Qualitative; Random; Screen; Survey; SURVEY.PNDS","","Observation","","","","Demonstrates knowledge of wound management","","","","","0","0","","","","","","2.72","",""
"100041-3","Aminoglycoside","Susc","Pt","Isolate","OrdQn","","ABXBACT","2.72","ADD","","ACTIVE","","1","","","","","N","Amikacin; Aminoglycosides; ANTIBIOTIC SUSCEPTIBILITIES; AST; c288; Gentamicin; Islt; Isol; Neomycin; Point in time; Random; Streptomycin; Sus; Suscept; Susceptibilities; Susceptibility; Susceptibilty; Tobramycin","Aminoglycoside Susc Islt","Both","","","","Aminoglycoside [Susceptibility]","","","","","0","0","","","","","","2.72","","Aminoglycoside [Susc]"
"100865-5","Avian schistosomes DNA","PrThr","Pt","XXX","Ord","Probe.amp.tar","MICRO","2.73","ADD","","ACTIVE","","1","","","","","N","3 Self-Sustaining Sequence Replication; 3SR SR; Amplif; Amplification; Amplified; Bird; Deoxyribonucleic acid; DNA NUCLEIC ACID PROBE; DNA probe; Fowl; LAT; LCR; Ligase chain reaction; Ligation-activated transcription; Microbiology; Misc; Miscellaneous; NAA+probe; NAAT; NASBA; Nucleic acid sequence based analysis; Ordinal; Other; PCR; Point in time; Polymerase chain reaction; PR; Probe amp; Probe with ampification; Probe with target amplification; QBR; QL; Qual; Qualitative; Random; Screen; SDA; Spec; Strand Displacement Amplification; TMA; To be specified in another part of the message; Transcription mediated amplification; Unspecified; Vet; Veterinary","Avian schistosomes DNA Spec Ql NAA+probe","Both","","","","Avian schistosomes DNA [Presence] in Specimen by NAA with probe detection","","","","","0","0","","","","","","2.73","","Avian schistosomes DNA NAA+probe Ql (Specimen)"
"100906-7","Bacteria","NCnc","Pt","Urine","Qn","Culture","MICRO","2.73","ADD","","ACTIVE","","1","","","","","N","#; ABS; absolute; absolutes; Bact; C&S; Cnt; Count; Count/volume; CT; Cult; Cultures; Microbiology; Number concentration; Number Concentration (count/vol); Point in time; QNT; Quan; Quant; Quantitative; Random; UA; UR; Urn","Bacteria # Ur Cult","Both","","","#/mL","Bacteria [#/volume] in Urine by Culture","{#}/mL","","","","0","0","","","","","","2.73","","Bacteria Cx (U) [#/Vol]"
"101421-6","Human coronavirus NL63 RNA","PrThr","Pt","Respiratory System Specimen","Ord","Probe.amp.tar","MICRO","2.75","MAJ","","ACTIVE","","1","","","","","N","3 Self-Sustaining Sequence Replication; 3SR SR; Amplif; Amplification; Amplified; Breathing; Corona virus; DNA NUCLEIC ACID PROBE; DNA probe; HCoV; HCoV NL63; LAT; LCR; Ligase chain reaction; Ligation-activated transcription; Lungs; Microbiology; NAA+probe; NAAT; NASBA; Nucleic acid sequence based analysis; Ordinal; PCR; Point in time; Polymerase chain reaction; PR; Probe amp; Probe with ampification; Probe with target amplification; QBR; QL; Qual; Qualitative; Random; Ribonucleic acid; RS; Screen; SDA; Spec; Strand Displacement Amplification; TMA; Transcription mediated amplification","HCoV NL63 RNA Resp Ql NAA+probe","Both","","","","Human coronavirus NL63 RNA [Presence] in Respiratory system specimen by NAA with probe detection","","","","Release 2.75: SYSTEM: There are 2 similar system's in LOINC: 1- Respiratory system 2- Respiratory specimen Due to an applied logic, the display in the System axis for 1 is Respiratory (adjective) without specification of sample, specimen, or other specific noun, while 2 is displayed fully as Respiratory specimen.  Therefore for now we replaced 1 with Respiratory system specimen, which will affect 83 term.  The result is replacing ""Respiratory"" with ""Respiratory system specimen"". This is the short approach.  The bigger project is to potentially merge data that has either 1 or 2 together.  This is a project to pass by the laboratory committee and will involve about 1500 concepts.;","0","0","","","","","","2.74","","HCoV NL63 RNA NAA+probe Ql (Respiratory system specimen)"
"101448-9","Contactin-associated protein 1 Ab.IgG","PrThr","Pt","Ser/Plas","Ord","CBA IFA","SERO","2.75","MIN","","ACTIVE","","1","","","","","N","ABS; Aby; Antby; Anti; Antibodies; Antibody; Assoc; Autoantibodies; Autoantibody; CASPR1; CASPR1 Ab; CASPR1 Ab.IgG; i; Immune globulin G; Immunoglobulin G; Indirect Fluorescence Antibody; Ordinal; Pl; Plasma; Plsm; Point in time; PR; Prot; QL; Qual; Qualitative; Random; Screen; Serology; SerP; SerPl; SerPlas; Serum; Serum or plasma; SR","CASPR1 IgG SerPl Ql CBA IFA","Both","","","","Contactin-associated protein 1 IgG Ab [Presence] in Serum or Plasma by Cell binding immunofluorescent assay","","","","","0","0","","","","","","2.74","","Contactin-associated protein 1 IgG Cell binding immunofluorescent assay Ql"
"102820-8","Solea solea Ab.IgG","PrThr","Pt","Ser","SemiQn","RAST","ALLERGY","2.75","ADD","","ACTIVE","","1","","","","","N","ABS; Aby; Allergen; Allergens; ALLERGY TESTING; Antby; Anti; Antibodies; Antibody; Autoantibodies; Autoantibody; f129; f337; Immune globulin G; Immunoglobulin G; Point in time; PR; Radioallergosorbent test; Random; Rf337; Serum; SmQn; Sole; SR","Sole IgG RAST","Observation","","","","Sole IgG Ab [Presence] in Serum by Radioallergosorbent test (RAST)","","","","","0","0","","","","","","2.75","","Sole IgG RAST (S) [Presence]"
"102896-8","Blatta orientalis Ab.IgE","PrThr","Pt","Ser","SemiQn","RAST","ALLERGY","2.75","ADD","","ACTIVE","","1","","","","","N","ABS; Aby; Allergen; Allergens; ALLERGY TESTING; Antby; Anti; Antibodies; Antibody; Autoantibodies; Autoantibody; i207; Immune globulin E; Immunoglobulin E; Oriental cockroach; Oriental Roach; Point in time; PR; Radioallergosorbent test; Random; Ri207; Serum; SmQn; SR","Oriental Roach IgE RAST","Observation","","","","Oriental Cockroach IgE Ab [Presence] in Serum by Radioallergosorbent test (RAST)","","","","","0","0","","","","","","2.75","","Oriental Cockroach IgE RAST (S) [Presence]"
"10332-5","Cortisol^pre 250 ug corticotropin IM","MCnc","Pt","Ser/Plas","Qn","","CHAL","2.73","MIN","","ACTIVE","","1","","","","","Y","17-Hydroxycorticosterone; ACTH; Adrenocorticotrophic hormone; Adrenocorticotropin; Before; c206; c74; CHEMISTRY.CHALLENGE TESTING; Compound F; Coritsol; Cort; Cortrosyn; F; hydrocortisone; Level; Mass concentration; mcg; Pl; Plasma; Plsm; Point in time; pre 250 ug ACTH; pre 250 ug ACTH IM; QNT; Quan; Quant; Quantitative; Random; Rc206; SerP; SerPl; SerPlas; Serum; Serum or plasma; SR; Tumor marker","Cortis pre 250 ug ACTH IM SerPl-mCnc","Observation","","","pg/mL;ug/dL","Cortisol [Mass/volume] in Serum or Plasma --pre 250 ug corticotropin IM","ug/dL","","","","9062","0","","","","","","1.0i","","Cortisol pre 250 ug corticotropin IM [Mass/Vol]"
