PRODUCTID	PRODUCTNDC	NDCPACKAGECODE	PACKAGEDESCRIPTION	STARTMARKETINGDATE	ENDMARKETINGDATE	NDC_EXCLUDE_FLAG	SAMPLE_PACKAGE
0002-0152_c4e3941e-31d3-4841-b154-3ee43bf34b11	0002-0152	0002-0152-01	1 VIAL, SINGLE-DOSE in 1 CARTON (0002-0152-01)  / .5 mL in 1 VIAL, SINGLE-DOSE	20240328		N	N
0002-0152_c4e3941e-31d3-4841-b154-3ee43bf34b11	0002-0152	0002-0152-04	4 VIAL, SINGLE-DOSE in 1 CARTON (0002-0152-04)  / .5 mL in 1 VIAL, SINGLE-DOSE	20240808		N	N
0002-0152_c4e3941e-31d3-4841-b154-3ee43bf34b11	0002-0152	0002-0152-61	4 VIAL, SINGLE-DOSE in 1 CARTON (0002-0152-61)  / .5 mL in 1 VIAL, SINGLE-DOSE	20250501		N	Y
0002-0213_42527ae4-c593-4e13-8b77-c0511198c708	0002-0213	0002-0213-01	1 VIAL, MULTI-DOSE in 1 CARTON (0002-0213-01)  / 3 mL in 1 VIAL, MULTI-DOSE	20230620	20261215	N	N
0002-0243_c4e3941e-31d3-4841-b154-3ee43bf34b11	0002-0243	0002-0243-01	1 VIAL, SINGLE-DOSE in 1 CARTON (0002-0243-01)  / .5 mL in 1 VIAL, SINGLE-DOSE	20240328		N	N
0002-0243_c4e3941e-31d3-4841-b154-3ee43bf34b11	0002-0243	0002-0243-04	4 VIAL, SINGLE-DOSE in 1 CARTON (0002-0243-04)  / .5 mL in 1 VIAL, SINGLE-DOSE	20240808		N	N
0002-0800_3d52c48f-89cd-4d3d-8db6-1789e76a1c79	0002-0800	0002-0800-01	1 VIAL in 1 CARTON (0002-0800-01)  / 10 mL in 1 VIAL	19870710		N	N
0002-1152_f6d96cc7-53f4-45cc-a044-5f566cf0a609	0002-1152	0002-1152-01	1 VIAL, SINGLE-DOSE in 1 CARTON (0002-1152-01)  / .5 mL in 1 VIAL, SINGLE-DOSE	20230728		N	N
0002-1200_17c61a1c-11c6-456a-81ce-8663a16e7512	0002-1200	0002-1200-48	1 VIAL, MULTI-DOSE in 1 CAN (0002-1200-48)  / 100 mL in 1 VIAL, MULTI-DOSE	20230522		N	N
0002-1200_17c61a1c-11c6-456a-81ce-8663a16e7512	0002-1200	0002-1200-50	1 VIAL, MULTI-DOSE in 1 CAN (0002-1200-50)  / 50 mL in 1 VIAL, MULTI-DOSE	20120601		N	N
0002-1214_c4e3941e-31d3-4841-b154-3ee43bf34b11	0002-1214	0002-1214-01	1 VIAL, SINGLE-DOSE in 1 CARTON (0002-1214-01)  / .5 mL in 1 VIAL, SINGLE-DOSE	20240328		N	N
0002-1214_c4e3941e-31d3-4841-b154-3ee43bf34b11	0002-1214	0002-1214-04	4 VIAL, SINGLE-DOSE in 1 CARTON (0002-1214-04)  / .5 mL in 1 VIAL, SINGLE-DOSE	20250218		N	N
0002-1220_881bd80b-aa49-4737-bd51-36a28f0d8065	0002-1220	0002-1220-48	1 VIAL, MULTI-DOSE in 1 CAN (0002-1220-48)  / 100 mL in 1 VIAL, MULTI-DOSE	20221025		N	N
0002-1220_881bd80b-aa49-4737-bd51-36a28f0d8065	0002-1220	0002-1220-50	1 VIAL, MULTI-DOSE in 1 CAN (0002-1220-50)  / 50 mL in 1 VIAL, MULTI-DOSE	20221025		N	N
0002-1243_f6d96cc7-53f4-45cc-a044-5f566cf0a609	0002-1243	0002-1243-01	1 VIAL, SINGLE-DOSE in 1 CARTON (0002-1243-01)  / .5 mL in 1 VIAL, SINGLE-DOSE	20230728		N	N
0002-1340_c4e3941e-31d3-4841-b154-3ee43bf34b11	0002-1340	0002-1340-01	1 VIAL, SINGLE-DOSE in 1 CARTON (0002-1340-01)  / .5 mL in 1 VIAL, SINGLE-DOSE	20240328		N	N
0002-1340_c4e3941e-31d3-4841-b154-3ee43bf34b11	0002-1340	0002-1340-04	4 VIAL, SINGLE-DOSE in 1 CARTON (0002-1340-04)  / .5 mL in 1 VIAL, SINGLE-DOSE	20250218		N	N
0002-1423_c4e3941e-31d3-4841-b154-3ee43bf34b11	0002-1423	0002-1423-01	1 VIAL, SINGLE-DOSE in 1 CARTON (0002-1423-01)  / .5 mL in 1 VIAL, SINGLE-DOSE	20240328		N	N
0002-1423_c4e3941e-31d3-4841-b154-3ee43bf34b11	0002-1423	0002-1423-04	4 VIAL, SINGLE-DOSE in 1 CARTON (0002-1423-04)  / .5 mL in 1 VIAL, SINGLE-DOSE	20250707		N	N
0002-1433_2a046089-7cd3-43d3-9f7f-27e3e4b49f0d	0002-1433	0002-1433-61	2 SYRINGE in 1 CARTON (0002-1433-61)  / .5 mL in 1 SYRINGE	20141107		N	Y
0002-1433_2a046089-7cd3-43d3-9f7f-27e3e4b49f0d	0002-1433	0002-1433-80	4 SYRINGE in 1 CARTON (0002-1433-80)  / .5 mL in 1 SYRINGE (0002-1433-01) 	20141107		N	N
0002-1434_2a046089-7cd3-43d3-9f7f-27e3e4b49f0d	0002-1434	0002-1434-61	2 SYRINGE in 1 CARTON (0002-1434-61)  / .5 mL in 1 SYRINGE	20141107		N	Y
0002-1434_2a046089-7cd3-43d3-9f7f-27e3e4b49f0d	0002-1434	0002-1434-80	4 SYRINGE in 1 CARTON (0002-1434-80)  / .5 mL in 1 SYRINGE (0002-1434-01) 	20141107		N	N
0002-1436_ebb44b14-8a4c-4e2b-aff1-ad1f8548a76c	0002-1436	0002-1436-11	1 SYRINGE in 1 CARTON (0002-1436-11)  / 1 mL in 1 SYRINGE (0002-1436-01) 	20180927		N	N
