PRODUCTID	PRODUCTNDC	PRODUCTTYPENAME	PROPRIETARYNAME	PROPRIETARYNAMESUFFIX	NONPROPRIETARYNAME	DOSAGEFORMNAME	ROUTENAME	STARTMARKETINGDATE	ENDMARKETINGDATE	MARKETINGCATEGORYNAME	APPLICATIONNUMBER	LABELERNAME	SUBSTANCENAME	ACTIVE_NUMERATOR_STRENGTH	ACTIVE_INGRED_UNIT	PHARM_CLASSES	DEASCHEDULE	NDC_EXCLUDE_FLAG	LISTING_RECORD_CERTIFIED_THROUGH
0002-0152_c4e3941e-31d3-4841-b154-3ee43bf34b11	0002-0152	HUMAN PRESCRIPTION DRUG	Zepbound		tirzepatide	INJECTION, SOLUTION	SUBCUTANEOUS	20231108		NDA	NDA217806	Eli Lilly and Company	TIRZEPATIDE	2.5	mg/.5mL	G-Protein-linked Receptor Interactions [MoA], GLP-1 Receptor Agonist [EPC], Glucagon-like Peptide-1 (GLP-1) Agonists [MoA], Glucose-dependent Insulinotropic Polypeptide Receptor Agonist [EPC]		Y	20261231
0002-0213_42527ae4-c593-4e13-8b77-c0511198c708	0002-0213	HUMAN OTC DRUG	Humulin	R	Insulin human	INJECTION, SOLUTION	PARENTERAL	19830627	20261215	BLA	BLA018780	Eli Lilly and Company	INSULIN HUMAN	100	[iU]/mL	Insulin [CS], Insulin [EPC]		N	
0002-0243_c4e3941e-31d3-4841-b154-3ee43bf34b11	0002-0243	HUMAN PRESCRIPTION DRUG	Zepbound		tirzepatide	INJECTION, SOLUTION	SUBCUTANEOUS	20231108		NDA	NDA217806	Eli Lilly and Company	TIRZEPATIDE	5	mg/.5mL	G-Protein-linked Receptor Interactions [MoA], GLP-1 Receptor Agonist [EPC], Glucagon-like Peptide-1 (GLP-1) Agonists [MoA], Glucose-dependent Insulinotropic Polypeptide Receptor Agonist [EPC]		N	20261231
0002-0800_3d52c48f-89cd-4d3d-8db6-1789e76a1c79	0002-0800	HUMAN PRESCRIPTION DRUG	Sterile Diluent		diluent	INJECTION, SOLUTION	SUBCUTANEOUS	19870710		BLA	BLA020563	Eli Lilly and Company	WATER	1	mL/mL			N	20261231
0002-1152_f6d96cc7-53f4-45cc-a044-5f566cf0a609	0002-1152	HUMAN PRESCRIPTION DRUG	MOUNJARO		tirzepatide	INJECTION, SOLUTION	SUBCUTANEOUS	20230728		NDA	NDA215866	Eli Lilly and Company	TIRZEPATIDE	2.5	mg/.5mL	G-Protein-linked Receptor Interactions [MoA], GLP-1 Receptor Agonist [EPC], Glucagon-like Peptide-1 (GLP-1) Agonists [MoA], Glucose-dependent Insulinotropic Polypeptide Receptor Agonist [EPC]		N	20261231
0002-1200_17c61a1c-11c6-456a-81ce-8663a16e7512	0002-1200	HUMAN PRESCRIPTION DRUG	Amyvid		Florbetapir F 18	INJECTION, SOLUTION	INTRAVENOUS	20120601		NDA	NDA202008	Eli Lilly and Company	FLORBETAPIR F-18	51	mCi/mL	Positron Emitting Activity [MoA], Radioactive Diagnostic Agent [EPC]		N	20261231
0002-1214_c4e3941e-31d3-4841-b154-3ee43bf34b11	0002-1214	HUMAN PRESCRIPTION DRUG	Zepbound		tirzepatide	INJECTION, SOLUTION	SUBCUTANEOUS	20231108		NDA	NDA217806	Eli Lilly and Company	TIRZEPATIDE	7.5	mg/.5mL	G-Protein-linked Receptor Interactions [MoA], GLP-1 Receptor Agonist [EPC], Glucagon-like Peptide-1 (GLP-1) Agonists [MoA], Glucose-dependent Insulinotropic Polypeptide Receptor Agonist [EPC]		N	20261231
0002-1220_881bd80b-aa49-4737-bd51-36a28f0d8065	0002-1220	HUMAN PRESCRIPTION DRUG	TAUVID		Flortaucipir F-18	INJECTION, SOLUTION	INTRAVENOUS	20220701		NDA	NDA212123	Eli Lilly and Company	FLORTAUCIPIR F-18	100	mCi/mL			N	20251231
0002-1243_f6d96cc7-53f4-45cc-a044-5f566cf0a609	0002-1243	HUMAN PRESCRIPTION DRUG	MOUNJARO		tirzepatide	INJECTION, SOLUTION	SUBCUTANEOUS	20230728		NDA	NDA215866	Eli Lilly and Company	TIRZEPATIDE	5	mg/.5mL	G-Protein-linked Receptor Interactions [MoA], GLP-1 Receptor Agonist [EPC], Glucagon-like Peptide-1 (GLP-1) Agonists [MoA], Glucose-dependent Insulinotropic Polypeptide Receptor Agonist [EPC]		N	20261231
0002-1340_c4e3941e-31d3-4841-b154-3ee43bf34b11	0002-1340	HUMAN PRESCRIPTION DRUG	Zepbound		tirzepatide	INJECTION, SOLUTION	SUBCUTANEOUS	20231108		NDA	NDA217806	Eli Lilly and Company	TIRZEPATIDE	10	mg/.5mL	G-Protein-linked Receptor Interactions [MoA], GLP-1 Receptor Agonist [EPC], Glucagon-like Peptide-1 (GLP-1) Agonists [MoA], Glucose-dependent Insulinotropic Polypeptide Receptor Agonist [EPC]		N	20261231
